sample_id,snli_id,sentence_1,sentence_2,label,item_difficulty,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,prob_0_no_cal,prob_1_no_cal,prob_2_no_cal,pred,confidence,e,c,n,pred_label,entropy_with_cal
0,1947351225.jpg#0r1c,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,contradiction,-1.75982247491244,0.8391393442622951,78.75,6.0,19,101,0.002023930661380291,0.9429366588592529,0.05503937602043152,contradiction,0.8160973352349222,0.0043673202547652,0.8160973352349222,0.1795353445103124,contradiction,0.7183321768569488
1,3626964430.jpg#0r1e,"People playing cricket in the park, pine trees in the back.","People are playing sports in the park, near the pine trees",entailment,-2.1790869834078,0.8862704918032787,94.15,5.0,22,118,0.9258924722671509,0.0009161178604699671,0.07319138199090958,entailment,0.9001068286660795,0.9001068286660795,0.0019329140024431726,0.09796025733147724,entailment,0.48241956445024636
2,4576144189.jpg#3r1e,Some people hanging out on a large backyard deck.,people hanging out on deck,entailment,-3.13717793250355,0.951844262295082,81.29,3.0,14,76,0.9831142425537109,0.0003768097376450896,0.016509007662534714,entailment,0.9761168129479395,0.9761168129479395,0.0005580692407207702,0.023325117811339644,entailment,0.16654071426111602
3,507370108.jpg#3r1n,A group of dancers are performing.,The audience is silent.,neutral,-1.98210490343004,0.8657786885245902,83.32,3.0,10,58,0.002088247099891305,0.2527822256088257,0.7451295256614685,neutral,0.636805640402527,0.003952416943978199,0.3592419426534949,0.636805640402527,neutral,0.97675095534157
4,3361210233.jpg#0r1n,A large brown and white dog is carrying a stick through a white and snowy area.,A puppy is playing fetch with a stick.,neutral,-0.280871833963571,0.5655737704918032,93.14,4.0,24,118,0.005250540096312761,0.005114634055644274,0.9896348118782043,neutral,0.9769715614242297,0.00954303920649031,0.013485399369279848,0.9769715614242297,neutral,0.18066152044348852
5,3512127856.jpg#2r1n,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral,-1.40847862599424,0.7889344262295082,79.77,4.0,17,93,0.03517507389187813,0.870911717414856,0.09391316771507263,contradiction,0.5769181023457439,0.05868928760219423,0.5769181023457439,0.36439261005206186,contradiction,1.2286176917879728
6,6775386430.jpg#1r1n,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,contradiction,0.962349262458267,0.2899590163934426,87.21,4.0,19,95,0.015453945845365524,0.19405753910541534,0.7904885411262512,neutral,0.7706969278520771,0.025030268930222196,0.20427280321770055,0.7706969278520771,neutral,0.8908431321952717
7,3433982387.jpg#1r1n,A young girl in a white dress watches bubbles while a woman and girl toddler observe.,A girl is watching bubbles.,entailment,-3.76147309861573,0.9733606557377048,86.2,4.0,21,113,0.9818534255027771,0.00037653668550774455,0.017769990488886833,entailment,0.9735850535397107,0.9735850535397107,0.000586864038463095,0.02582808242182647,entailment,0.18014165876073437
8,358127240.jpg#4r1n,a toddler playing with a toy car next to a dog.,A toddler plays with toy cars while his dog sleeps.,neutral,-1.17515875979249,0.75,103.12,2.0,21,99,0.0076204645447432995,0.03691725432872772,0.9554622769355774,neutral,0.9218872617904453,0.013473455733023158,0.0646392824765315,0.9218872617904453,neutral,0.4473112581453691
9,4919196839.jpg#0r1e,A man in and a woman are holding their towels at the beach.,People are at the beach,entailment,-3.42068383007488,0.9631147540983608,96.18,4.0,18,83,0.9750165939331055,0.0005184225155971944,0.02446497604250908,entailment,0.9664324146509413,0.9664324146509413,0.0008785989079799782,0.03268898644107875,entailment,0.21784755173707324
