sstb_id,zuco_id,content,sstb_label,control_id,flesch_score_manual,flesch_score_textstat,mean_grade_level_textstat,mean_of_fixations,max_of_fixations,min_of_fixations,median_of_fixations,mean_of_trts,max_of_trts,min_of_trts,median_of_trts,mean_of_omissionRates,max_of_omissionRates,min_of_omissionRates,median_of_omissionRates,mean_of_pupilSizes,max_of_pupilSizes,min_of_pupilSizes,median_of_pupilSizes,mean_of_average_fixation_duration,max_of_average_fixation_duration,min_of_average_fixation_duration,median_of_average_fixation_duration,number_of_words,number_of_characters,number_of_syllables,zab_item_accuracy,zdm_item_accuracy,zgw_item_accuracy,zjm_item_accuracy,zjn_item_accuracy,zjs_item_accuracy,zkb_item_accuracy,zkh_item_accuracy,zkw_item_accuracy,zmg_item_accuracy,zph_item_accuracy,average_sentence_accuracy
38,383.0,"Cantet perfectly captures the hotel lobbies, two-lane highways, and roadside cafes that permeate Vincent's days",1,,16.77000000000001,47.79,11.0,17.454545454545453,24.0,9.0,18.0,2107.4545454545455,3364.0,905.0,2084.0,0.29696969696969694,0.5333333333333333,0.06666666666666667,0.26666666666666666,863.0428061837155,1773.2142857142858,359.44444444444446,923.2380952380952,118.26108487472123,141.16666666666666,98.5,123.33333333333333,15.0,111.0,31.0,,,,,,,,,,,,
81,359.0,Gollum's `performance' is incredible!,1,,-29.87499999999997,-8.73,16.0,5.363636363636363,10.0,0.0,5.0,728.6363636363636,1210.0,0.0,702.0,0.20454545454545456,1.0,0.0,0.0,781.9034090909091,1730.8333333333333,0.0,798.0,127.51580086580087,192.66666666666666,0.0,132.16666666666666,4.0,37.0,11.0,,,,,,,,,,,,
86,206.0,"It's the best film of the year so far, the benchmark against which all other Best Picture contenders should be measured.",1,,64.66285714285716,84.0,7.0,17.727272727272727,36.0,11.0,15.0,1874.3636363636363,4277.0,1007.0,1533.0,0.3376623376623376,0.5238095238095238,0.14285714285714285,0.3333333333333333,816.1216874035057,1214.34375,240.6888888888889,841.78125,104.81916702481686,119.33333333333333,88.82352941176471,106.08333333333333,21.0,120.0,30.0,,,,,,,,,,,,
94,255.0,"The movie is a blast of educational energy, as bouncy animation and catchy songs escort you through the entire 85 minutes.",1,,32.43428571428572,50.16,12.0,19.727272727272727,27.0,14.0,19.0,2297.2727272727275,2980.0,1615.0,2153.0,0.36796536796536794,0.6190476190476191,0.23809523809523808,0.3333333333333333,734.1214127307877,1060.5555555555557,236.24479166666669,750.7685185185186,117.0076121951924,134.5625,103.42105263157895,114.61538461538461,21.0,122.0,38.0,,,,,,,,,,,,
105,189.0,... a roller-coaster ride of a movie,1,25.0,66.7871428571429,90.77,5.0,7.363636363636363,18.0,4.0,6.0,1010.6363636363636,2556.0,539.0,860.0,0.4545454545454545,0.5714285714285714,0.2857142857142857,0.42857142857142855,760.8482323232324,1143.5,259.25,754.1,136.53358585858584,177.8,99.55555555555556,134.75,7.0,36.0,11.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6363636363636364
139,396.0,A classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done.,1,,73.17200000000001,88.4,8.0,16.90909090909091,28.0,7.0,18.0,2021.4545454545455,3647.0,823.0,2105.0,0.46181818181818185,0.76,0.2,0.4,809.0525623885918,1596.1875,354.6,774.9333333333333,116.63357210228868,141.36363636363637,82.3,118.71428571428571,25.0,116.0,32.0,,,,,,,,,,,,
155,93.0,It is intensely personal and yet -- unlike Quills -- deftly shows us the temper of the times.,1,,56.965,72.16,11.0,18.454545454545453,25.0,11.0,18.0,2159.6363636363635,3206.0,1237.0,2039.0,0.42424242424242425,0.5,0.2777777777777778,0.4444444444444444,765.4432969387515,1196.0555555555557,236.8,779.378787878788,117.0080147421103,139.3913043478261,97.0952380952381,115.3529411764706,18.0,93.0,28.0,,,,,,,,,,,,
219,299.0,It won't bust your gut -- and it's not intended to -- it's merely a blandly cinematic surgical examination of what makes a joke a joke.,0,,43.78346153846158,55.58,12.0,20.272727272727273,28.0,13.0,21.0,2300.090909090909,3578.0,1350.0,2263.0,0.42307692307692313,0.5384615384615384,0.34615384615384615,0.4230769230769231,838.6779815772462,1576.8333333333333,360.35897435897436,815.9705882352941,112.99053123440963,149.05555555555554,90.52941176470588,108.89473684210526,26.0,135.0,42.0,,,,,,,,,,,,
252,347.0,Remarkably accessible and affecting.,1,,-51.02499999999998,-34.11,19.0,8.363636363636363,21.0,4.0,7.0,1224.6363636363637,3492.0,608.0,977.0,0.1590909090909091,0.25,0.0,0.25,869.6347222222222,1743.1041666666665,357.3333333333333,878.0833333333334,147.30833333333334,170.71428571428572,110.26666666666667,152.0,4.0,36.0,12.0,,,,,,,,,,,,
262,50.0,I like the new footage and still love the old stuff.,1,,95.68818181818183,111.07,5.0,11.636363636363637,21.0,5.0,10.0,1481.2727272727273,2724.0,629.0,1328.0,0.371900826446281,0.6363636363636364,0.09090909090909091,0.36363636363636365,837.3190025252527,1288.2777777777778,277.8333333333333,915.8571428571429,125.7946774650124,135.0909090909091,103.5,126.0,11.0,52.0,13.0,,,,,,,,,,,,
