sample_id,sentence,domain,gold_label,agg_human_label,agg_human_confidence,machine_3_pred,machine_3_confidence,confidence_diff
73,It loved Sandy.,out,0.0,1.0,1.0,0.0,0.9992763867344462,1.9992763867344463
24,Books were taken from no student and given to Mary.,out,1.0,0.0,1.0,1.0,0.9988734601230111,1.9988734601230111
142,It tries to leave the country.,in,0.0,1.0,0.8,0.0,0.9994110351079522,1.7994110351079522
25,"Bill ate the peaches, but Harry the grapes.",out,0.0,1.0,0.8,0.0,0.9994053117971652,1.7994053117971651
38,The book that I like - everyone else in the class hates.,out,0.0,1.0,0.8,0.0,0.999185311978637,1.7991853119786372
15,"Tony sent Mo a picture that he painted, but it's not clear with what.",out,0.0,1.0,0.8,0.0,0.9991769677070284,1.7991769677070284
75,Advantage is taken of every opportunity for improvement.,out,1.0,0.0,0.8,1.0,0.998952556652148,1.798952556652148
102,"I demand that the more John eat, the more he pays.",in,0.0,1.0,0.6,0.0,0.999240804494852,1.599240804494852
118,Everybody around here who ever buys anything on credit talks in his sleep.,in,1.0,0.0,0.6,1.0,0.9989917172589864,1.5989917172589863
105,"Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder.",in,1.0,0.0,0.6,1.0,0.5921364978398749,1.1921364978398747
