sample_id,confidence,pred_label,gold_label
0,0.5,1,1
1,0.5,0,0
2,0.5,1,0
3,0.5,0,1
4,0.5,0,0
5,0.5,1,0
6,0.5,0,0
7,0.5,1,0
8,0.5,0,1
9,0.5,1,1
10,0.5,1,0
11,0.5,0,0
12,0.5,1,0
13,0.5,1,0
14,0.5,0,0
15,0.5,0,1
16,0.5,0,0
17,0.5,1,0
18,0.5,0,1
19,0.5,1,0
20,0.5,1,0
21,0.5,0,0
22,0.5,0,1
23,0.5,1,0
24,0.5,1,0
25,0.5,0,0
26,0.5,0,1
27,0.5,0,0
28,0.5,0,0
29,0.5,1,0
30,0.5,0,1
31,0.5,0,0
32,0.5,0,0
33,0.5,1,0
34,0.5,0,1
35,0.5,0,0
36,0.5,0,0
37,0.5,0,0
38,0.5,0,1
39,0.5,0,0
40,0.5,0,0
41,0.5,1,0
42,0.5,0,0
43,0.5,1,0
44,0.5,1,0
45,0.5,1,0
46,0.5,0,0
47,0.5,0,0
48,0.5,1,0
49,0.5,0,1
50,0.5,0,0
51,0.5,0,1
52,0.5,0,1
53,0.5,1,1
54,0.5,1,0
55,0.5,1,0
56,0.5,0,0
57,0.5,1,0
58,0.5,0,1
59,0.5,1,0
60,0.5,1,1
61,0.5,1,0
62,0.5,0,1
63,0.5,1,1
64,0.5,0,0
65,0.5,1,1
66,0.5,0,0
67,0.5,1,1
68,0.5,1,0
69,0.5,0,1
70,0.5,0,1
71,0.5,1,0
72,0.5,0,1
73,0.5,1,0
74,0.5,0,1
75,0.5,1,1
76,0.5,0,1
77,0.5,1,0
78,0.5,0,1
79,0.5,0,0
80,0.5,0,1
81,0.5,1,0
82,0.5,0,0
83,0.5,0,1
84,0.5,0,1
85,0.5,0,0
86,0.5,1,1
87,0.5,1,1
88,0.5,1,0
89,0.5,1,1
90,0.5,0,1
91,0.5,1,1
92,0.5,1,0
93,0.5,0,1
94,0.5,1,0
95,0.5,1,1
96,0.5,0,0
97,0.5,0,1
98,0.5,0,0
99,0.5,1,1
100,0.5,1,1
101,0.5,0,0
102,0.5,1,1
103,0.5,1,1
104,0.5,1,1
105,0.5,0,0
106,0.5,1,0
107,0.5,1,1
108,0.5,1,1
109,0.5,1,1
110,0.5,1,0
111,0.5,0,1
112,0.5,0,0
113,0.5,0,0
114,0.5,0,0
115,0.5,1,1
116,0.5,1,1
117,0.5,1,0
118,0.5,1,0
119,0.5,1,0
120,0.5,0,1
121,0.5,0,1
122,0.5,1,0
123,0.5,0,0
124,0.5,0,0
125,0.5,1,0
126,0.5,0,0
127,0.5,1,1
128,0.5,0,1
129,0.5,1,1
130,0.5,1,0
131,0.5,0,0
132,0.5,1,1
133,0.5,0,0
134,0.5,0,1
135,0.5,0,0
136,0.5,0,1
137,0.5,1,1
138,0.5,1,0
139,0.5,1,1
140,0.5,1,0
141,0.5,0,0
142,0.5,0,1
143,0.5,0,0
144,0.5,1,1
145,0.5,1,1
146,0.5,1,0
147,0.5,0,0
148,0.5,1,0
149,0.5,0,1
150,0.5,0,0
151,0.5,1,0
152,0.5,1,0
153,0.5,0,0
154,0.5,1,1
155,0.5,0,0
156,0.5,0,0
157,0.5,1,1
158,0.5,0,1
159,0.5,0,0
160,0.5,1,1
161,0.5,1,0
162,0.5,0,1
163,0.5,0,0
164,0.5,1,1
165,0.5,1,0
166,0.5,1,1
167,0.5,0,1
168,0.5,0,0
169,0.5,0,0
170,0.5,0,0
171,0.5,0,1
172,0.5,1,1
173,0.5,1,1
174,0.5,1,0
175,0.5,1,1
176,0.5,1,1
177,0.5,0,0
178,0.5,1,1
179,0.5,0,1
180,0.5,1,0
181,0.5,1,1
182,0.5,1,1
183,0.5,0,0
184,0.5,0,0
185,0.5,0,0
186,0.5,1,1
187,0.5,0,1
188,0.5,1,0
189,0.5,1,0
190,0.5,1,0
191,0.5,1,0
192,0.5,0,1
193,0.5,1,1
194,0.5,1,1
195,0.5,1,1
196,0.5,1,0
197,0.5,1,0
198,0.5,0,1
199,0.5,0,0
200,0.5,0,1
201,0.5,1,1
202,0.5,0,0
203,0.5,0,1
204,0.5,0,1
205,0.5,0,0
206,0.5,1,0
207,0.5,0,0
208,0.5,0,1
209,0.5,0,0
210,0.5,1,1
211,0.5,0,0
212,0.5,1,0
213,0.5,1,0
214,0.5,0,1
215,0.5,0,1
216,0.5,0,0
217,0.5,0,0
218,0.5,1,1
219,0.5,0,1
220,0.5,0,1
221,0.5,1,0
222,0.5,1,0
223,0.5,0,0
224,0.5,1,0
225,0.5,1,0
226,0.5,0,0
227,0.5,1,1
228,0.5,0,1
229,0.5,1,0
230,0.5,0,0
231,0.5,1,0
232,0.5,1,0
233,0.5,0,1
234,0.5,0,1
235,0.5,1,0
236,0.5,1,1
237,0.5,0,0
238,0.5,0,1
239,0.5,0,1
240,0.5,1,0
241,0.5,0,1
242,0.5,0,0
243,0.5,1,1
244,0.5,1,1
245,0.5,1,1
246,0.5,1,0
247,0.5,1,1
248,0.5,0,1
249,0.5,0,0
250,0.5,1,0
251,0.5,0,1
252,0.5,0,1
253,0.5,1,0
254,0.5,1,1
255,0.5,1,1
256,0.5,0,0
257,0.5,1,1
258,0.5,1,0
259,0.5,0,1
260,0.5,1,1
261,0.5,0,1
262,0.5,0,0
263,0.5,1,0
264,0.5,1,1
265,0.5,1,0
266,0.5,1,1
267,0.5,1,0
268,0.5,0,0
269,0.5,1,1
270,0.5,1,1
271,0.5,1,0
272,0.5,1,0
273,0.5,1,1
274,0.5,1,0
275,0.5,0,0
276,0.5,1,0
277,0.5,0,1
278,0.5,1,0
279,0.5,1,0
280,0.5,1,1
281,0.5,1,0
282,0.5,1,0
