sample_id,sentence_1,sentence_2,gold_label,agg_human_label,agg_human_confidence,num_trues,num_falses,false_machs,true_machs
0,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,contradiction,contradiction,0.83828045,3,3,"[0, 1, 2]","[3, 4, 5]"
1,"People playing cricket in the park, pine trees in the back.","People are playing sports in the park, near the pine trees",entailment,entailment,0.885363357,4,2,"[0, 1]","[2, 3, 4, 5]"
3,A group of dancers are performing.,The audience is silent.,neutral,neutral,0.864892528,3,3,"[0, 1, 2]","[3, 4, 5]"
5,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral,neutral,0.788126919,3,3,"[0, 2, 3]","[1, 4, 5]"
6,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,contradiction,neutral,0.690890481,2,4,"[1, 3, 4, 5]","[0, 2]"
8,a toddler playing with a toy car next to a dog.,A toddler plays with toy cars while his dog sleeps.,neutral,neutral,0.749232344,4,2,"[0, 1]","[2, 3, 4, 5]"
9,A man in and a woman are holding their towels at the beach.,People are at the beach,entailment,entailment,0.962128966,4,2,"[0, 4]","[1, 2, 3, 5]"
12,"Two men in front of a projector screen, one at a microphone.",Three men about to present their best idea yet in front of their company.,neutral,neutral,0.75332651,4,2,"[0, 3]","[1, 2, 4, 5]"
14,A boy in a blue and white shirt is pointing up and a second boy in a white shirt shields his eyes.,Two boys puch each other on swings.,contradiction,neutral,0.508700102,2,4,"[0, 1, 4, 5]","[2, 3]"
17,A man posing with a antique sewing machine.,He is a sewer.,neutral,neutral,0.853633572,4,2,"[0, 1]","[2, 3, 4, 5]"
19,Man sweeping trash outside a large statue.,A man is on vacation.,contradiction,neutral,0.501535312,1,5,"[1, 2, 3, 4, 5]",[0]
22,This path leads up to the apple market entrance.,This road goes up to apple market entrance,entailment,entailment,0.740020471,3,3,"[0, 1, 4]","[2, 3, 5]"
23,A single runner is watched by onlookers in a race.,A man is running in a race.,entailment,entailment,0.619242579,3,3,"[1, 3, 4]","[0, 2, 5]"
26,A young boy in a beige jacket laughs as he reaches for a teal balloon.,The boy plays with the balloon.,entailment,entailment,0.658137155,4,2,"[0, 4]","[1, 2, 3, 5]"
28,"A group of people are gathered in a crowd, some of which are holding spears.",A crowd of people are holding swords,contradiction,contradiction,0.488229273,2,4,"[0, 1, 2, 4]","[3, 5]"
29,A man prepares food in a shanty kitchen.,A man is fixing a meal.,entailment,entailment,0.886386899,4,2,"[1, 4]","[0, 2, 3, 5]"
30,There are two people sweeping a sidewalk in this picture.,The man is clearing leaves from the sidewalk.,neutral,neutral,0.714431934,4,2,"[0, 1]","[2, 3, 4, 5]"
31,The dogs ran around the dirt racetrack.,Dogs are humping each other.,contradiction,contradiction,0.698055271,4,2,"[1, 2]","[0, 3, 4, 5]"
33,Two people dressed in red and white wait at the horse track with a horse.,The people at the track are outdoors.,entailment,neutral,0.547594678,3,3,"[0, 4, 5]","[1, 2, 3]"
34,A person is standing next to a wooden fence with flowering trees nearby.,The bare tree branches rattle in the wind.,contradiction,contradiction,0.515864893,4,2,"[0, 4]","[1, 2, 3, 5]"
35,An old woman in a cowboy hat smokes a cigarette.,The old lady is ten feet tall.,contradiction,neutral,0.665301945,4,2,"[1, 5]","[0, 2, 3, 4]"
37,A wielder works on wielding a beam into place while other workers set beams.,The wielder is working on a building.,neutral,neutral,0.500511771,4,2,"[1, 3]","[0, 2, 4, 5]"
38,A man is popping balloons inside a cubicle using a handmade tool.,A man is popping balloons inside a cubicle using a handmade knife.,neutral,neutral,0.627430911,5,1,[1],"[0, 2, 3, 4, 5]"
39,a man wearing a gray shirt waving in the middle of a plant nursery,The man does not have a way to get home.,neutral,neutral,0.813715455,4,2,"[0, 2]","[1, 3, 4, 5]"
40,People were watching the tournament in the stadium.,The people are sitting outside on the grass.,contradiction,neutral,0.564994882,2,4,"[0, 1, 4, 5]","[2, 3]"
41,Two soccer players on the field running into each other.,There are two people colliding and falling.,neutral,entailment,0.556806551,3,3,"[0, 2, 5]","[1, 3, 4]"
44,"A man on stilts in a purple, yellow and white costume.",A man is performing on stilts.,entailment,entailment,0.738996929,3,3,"[0, 3, 4]","[1, 2, 5]"
46,Two friends walk down the street with a stuffed animal.,Two friends are walking on the sidewalk.,entailment,neutral,0.501535312,1,5,"[0, 1, 3, 4, 5]",[2]
47,Two men and one woman are dressed in costume hats.,the people are swingers,neutral,neutral,0.834186285,4,2,"[0, 1]","[2, 3, 4, 5]"
49,Eight people are sitting on a long boat on a sunny day.,Morning ride on boat,neutral,neutral,0.799385875,3,3,"[0, 1, 2]","[3, 4, 5]"
51,"A woman in her early fifties walks by herself in the subway, another woman is not far behind.",back in the fifties a woman could walk by herself in the subway.,contradiction,neutral,0.670419652,0,6,"[0, 1, 2, 3, 4, 5]",[]
52,"A man is standing in what appears to be a parking lot and shaving his face, while his dog looks at the ground near his feet.",A women is walking with a man,contradiction,contradiction,0.572159672,4,2,"[1, 4]","[0, 2, 3, 5]"
58,A police vehicle in an urban area.,A cop car in a suburban area,contradiction,contradiction,0.614124872,4,2,"[0, 4]","[1, 2, 3, 5]"
59,6 men in work jumpsuits and 1 man in an orange jumpsuit are walking next to green and red loading docks.,All 7 men are best friends.,neutral,neutral,0.924257932,4,2,"[0, 4]","[1, 2, 3, 5]"
60,This man is walking past a wall that has art on it.,A man walks past a wall mural.,entailment,entailment,0.58444217,1,5,"[0, 1, 2, 3, 4]",[5]
62,A ballerina in a black dress and tights dances in front of a concrete wall.,a man dancing,contradiction,contradiction,0.497441146,4,2,"[0, 1]","[2, 3, 4, 5]"
63,there is a lady standing and six people laying on a gym floor.,There are seven people in the gym.,entailment,entailment,0.792221085,3,3,"[0, 1, 4]","[2, 3, 5]"
64,A couple is back to back in formal attire.,Two people are facing away from each other.,entailment,entailment,0.878198567,4,2,"[1, 3]","[0, 2, 4, 5]"
68,A couple kissing in front of a black Mercedes Benz limousine,A couple kissing in front of a car,entailment,entailment,0.961105425,3,3,"[0, 1, 4]","[2, 3, 5]"
71,a poor looking person with white cream smeared around his eyes sitting on a backpack.,A dirty man with some product under his eyes is sitting on a pillow.,contradiction,contradiction,0.567041965,3,3,"[1, 3, 4]","[0, 2, 5]"
75,"Neck and neck to the finish line, every competitor has been training for this race.",The competitors have trained very hard and are all very close to the finish line.,entailment,entailment,0.83111566,2,4,"[0, 1, 2, 3]","[4, 5]"
77,Many small sailboats sitting at a dock.,Many small sailboats docked.,entailment,entailment,0.911975435,3,3,"[0, 1, 4]","[2, 3, 5]"
83,"Five men in red shirts, in a line, on a basketball court, four with hands on their hearts, and same four looking upward.",A team of basketball players are on the court.,entailment,entailment,0.543500512,2,4,"[0, 1, 3, 4]","[2, 5]"
67,An infant napping in it's crib in pajamas.,A baby is sleeping in a crib with its blanket.,neutral,neutral,0.751279427,4,2,"[1, 2]","[0, 3, 4, 5]"
88,A young girl in a bathing suit drinking a beverage in a green bottle.,The girl is drinking milk from a sippy cup.,contradiction,neutral,0.554759468,2,4,"[0, 2, 4, 5]","[1, 3]"
11,A woman singing into a microphone while a man plays drums in the background.,They are playing a PlayStation.,contradiction,neutral,0.557830092,3,3,"[0, 4, 5]","[1, 2, 3]"
24,Two rodeo clowns are on the dirt.,Two circus clowns were riding bicycles.,contradiction,neutral,0.59877175,4,2,"[0, 5]","[1, 2, 3, 4]"
32,"A man is sitting in front of a harpsichord, and a woman is preparing to sing.",a boy covers his ears,contradiction,neutral,0.737973388,3,3,"[1, 4, 5]","[0, 2, 3]"
42,Nine men wearing tuxedos sing.,Nine woman wearing dresses sing.,contradiction,neutral,0.488229273,2,4,"[0, 1, 4, 5]","[2, 3]"
43,A man and woman walking away from a crowded street fair.,There are a group of men walking together.,contradiction,contradiction,0.541453429,3,3,"[0, 1, 4]","[2, 3, 5]"
