sample_id,paragraph,question,answer-option,gold_label,agg_human_label,agg_human_confidence,machine_2_pred,machine_2_confidence,confidence_diff
90,"<b>Sent 1: </b>A group of researchers at a remote jungle island outpost discover the natives are practicing voodoo and black magic .<br><b>Sent 2: </b>After killing the local priest , a voodoo curse begins to raise the dead to feed on the living in retribution .<br><b>Sent 3: </b>The researchers on the island are killed by the newly risen zombies , except for Jenny , the daughter of a scientist couple .<br><b>Sent 4: </b>She escapes , protected by an enchanted necklace charm given to her by her mother shortly before her death .<br><b>Sent 5: </b>She returns years later as an adult with a group of mercenaries to attempt to uncover what happened to her parents .<br><b>Sent 6: </b>Shortly after arriving at the island their boat 's engine dies , stranding them .<br><b>Sent 7: </b>Meanwhile elsewhere on the island a trio of hikers discover a cave , the same cave leading to the underground temple where the original curse was created .<br><b>Sent 8: </b>After accidentally reviving the curse , the dead once again return to kill any who trespass on their island .<br><b>Sent 9: </b>The mercenaries encounter their first zombie , who injures a member of the team .<br><b>Sent 10: </b>Taking shelter in the remains of the old research facilities medical quarters they are soon joined by Chuck , the only surviving hiker .<br><b>Sent 11: </b>Arming themselves with weapons left behind by the long dead research team , they make their stand as the dead once again rise .<br><b>Sent 12: </b>One by one they are injured or killed , one of whom sacrifices himself to blow up the medical facility and his newly undead team members .<br><b>Sent 13: </b>Jenny and Chuck flee , the only survivors remaining .<br><b>Sent 14: </b>They stumble upon the cave once again , where the zombies appear and attack .<br>",Why didn't Jenny get killed by a zombie?,She escapes,1.0,0.0,1.0,1.0,0.9707409510702028,1.9707409510702028
260,"<b>Sent 1: </b> Heavy wooden shutters dulled the noise of the boisterous gale outside.<br> <b>Sent 2: </b>A thick red curtain hung over the door, and a cheery log fire burnt in the stove.<br> <b>Sent 3: </b>A man and woman sat over it; the man, a tall, repulsive-looking creature, with unkempt hair and matted beard, his age apparently about fifty.<br> <b>Sent 4: </b>The woman looked seventy or more.<br> <b>Sent 5: </b>She too had once been tall, but now old age gave her a withered, witch-like appearance, in spite of her great height.<br> <b>Sent 6: </b>She was dressed in limp, faded garments, with a tattered shawl crossed over her chest, and had a scared, miserable look in her bleared old eyes.<br> <b>Sent 7: </b>There were a few words of explanation from the man who had come home, and then, in gruff but not unkindly tones, he bade Babette be seated, and told his mother to get some supper speedily.<br> <b>Sent 8: </b>She spread a coarse cloth on the wooden table, and when all was ready, lifted a large black saucepan from the stove and turned out a smoking, savoury-looking stew.<br> <b>Sent 9: </b>The youngest son produced a bottle containing the thin acid wine of the country, and another of spirits.<br> <b>Sent 10: </b>As he set them on the table, Babette noticed that across one of his hands, which were much smaller and whiter than those of his brothers, there ran a dull red scar that looked as if he had had a bad cut there.<br> <b>Sent 11: </b>Then they all sat down, excepting the old mother, who busied herself in waiting on them.<br>",How many people are known to be in the house?,Five: 1. Man who came in. 2-3: Man and woman in front of a stove. 4: Babette who is standing. 5. The son. We do not know if the mother is the same person as the woman sitting in front of the stove,1.0,0.0,1.0,1.0,0.8543211773553049,1.8543211773553048
108,"<b>Sent 1: </b>The judge leaned back in his chair and beckoned to Mr. Andrews.<br><b>Sent 2: </b>It was finished.<br><b>Sent 3: </b>Spear was free, and from different parts of the courtroom people were moving toward the door.<br><b>Sent 4: </b>Their numbers showed that the friends of the young man had been many.<br><b>Sent 5: </b>Mr. Thorndike felt a certain twinge of disappointment.<br><b>Sent 6: </b>Even though the result relieved and pleased him, he wished, in bringing it about, he had had some part.<br><b>Sent 7: </b>He begrudged to Isaacs & Sons the credit of having given Spear his liberty.<br><b>Sent 8: </b>His morning had been wasted.<br><b>Sent 9: </b>He had neglected his own interests, and in no way assisted those of Spear.<br><b>Sent 10: </b>He was moving out of the railed enclosure when Andrews called him by name.<br><b>Sent 11: </b>""His honor,"" he said impressively, ""wishes to speak to you."" The judge leaned over his desk and shook Mr. Thorndike by the hand.<br><b>Sent 12: </b>Then he made a speech.<br><b>Sent 13: </b>The speech was about public-spirited citizens who, to the neglect of their own interests, came to assist the ends of justice, and fellow-creatures in misfortune.<br><b>Sent 14: </b>He purposely spoke in a loud voice, and every one stopped to listen.<br><b>Sent 15: </b>""The law, Mr. Thorndike, is not vindictive,"" he said.<br><b>Sent 16: </b>""It wishes only to be just.<br><b>Sent 17: </b>Nor can it be swayed by wealth or political or social influences.<br><b>Sent 18: </b>But when there is good in a man, I, personally, want to know it, and when gentlemen like yourself, of your standing in this city, come here to speak a good word for a man, we would stultify the purpose of justice if we did not listen.<br><b>Sent 19: </b>I thank you for coming, and I wish more of our citizens were as unselfish and public-spirited."" It was all quite absurd and most embarrassing, but inwardly Mr. Thorndike glowed with pleasure.<br><b>Sent 20: </b>It was a long time since any one had had the audacity to tell him he had done well.<br>",What did the judge tell Mr. Thorndike about the law?,It wishes only,1.0,0.0,1.0,1.0,0.7897426863959941,1.7897426863959942
280,"<b>Sent 1: </b>Hurlburt Field, Florida (CNN) -- An Air Force CV-22 Osprey crashed Wednesday during a routine training mission north of Navarre, Florida, injuring five crew members aboard, a military official said.<br><b>Sent 2: </b>The crash occurred about 6:45 p.m.<br><b>Sent 3: </b>at Hurlburt Field's Eglin Range, said Amy Nicholson, chief of public affairs at the airfield.<br><b>Sent 4: </b>The five injured crew members were taken to an area hospital, Nicholson said.<br><b>Sent 5: </b>The extent of their injuries was not immediately known.<br><b>Sent 6: </b>The cause of the accident is under investigation, she said.<br><b>Sent 7: </b>The Osprey was assigned to the 1st Special Operations Wing, the Air Force said.<br><b>Sent 8: </b>The tilt-rotor aircraft can fly like an airplane and land like a helicopter.<br><b>Sent 9: </b>The Army began developing the Osprey in 1982, though the program was nearly scrapped in 1989 when then-Secretary of Defense Dick Cheney sought to cancel it because of ballooning costs.<br><b>Sent 10: </b>Questions were raised about the safety of the Osprey after two crashes, including one in 1992 at a Marine Corps air base in Virginia that killed the crew.<br><b>Sent 11: </b>In late 2000, the Marine Corps grounded the Osprey fleet after two crashes -- one in Arizona that killed four crew members and 15 passengers, and another in North Carolina that killed the crew.<br><b>Sent 12: </b>A redesign was ordered on the Osprey, and it resumed flights in 2002.<br><b>Sent 13: </b>The Air Force began using Ospreys in 2008 after testing the aircraft in 2006.<br><b>Sent 14: </b>They were first deployed by the Marines in Iraq in 2007 after 18 years and $20 billion in development.<br>",What reasons might have caused the Osprey to be scrapped?,All the expense and safety issues,1.0,0.0,0.75,1.0,0.9764310670654324,1.7264310670654324
277,"<b>Sent 1: </b>Hurlburt Field, Florida (CNN) -- An Air Force CV-22 Osprey crashed Wednesday during a routine training mission north of Navarre, Florida, injuring five crew members aboard, a military official said.<br><b>Sent 2: </b>The crash occurred about 6:45 p.m.<br><b>Sent 3: </b>at Hurlburt Field's Eglin Range, said Amy Nicholson, chief of public affairs at the airfield.<br><b>Sent 4: </b>The five injured crew members were taken to an area hospital, Nicholson said.<br><b>Sent 5: </b>The extent of their injuries was not immediately known.<br><b>Sent 6: </b>The cause of the accident is under investigation, she said.<br><b>Sent 7: </b>The Osprey was assigned to the 1st Special Operations Wing, the Air Force said.<br><b>Sent 8: </b>The tilt-rotor aircraft can fly like an airplane and land like a helicopter.<br><b>Sent 9: </b>The Army began developing the Osprey in 1982, though the program was nearly scrapped in 1989 when then-Secretary of Defense Dick Cheney sought to cancel it because of ballooning costs.<br><b>Sent 10: </b>Questions were raised about the safety of the Osprey after two crashes, including one in 1992 at a Marine Corps air base in Virginia that killed the crew.<br><b>Sent 11: </b>In late 2000, the Marine Corps grounded the Osprey fleet after two crashes -- one in Arizona that killed four crew members and 15 passengers, and another in North Carolina that killed the crew.<br><b>Sent 12: </b>A redesign was ordered on the Osprey, and it resumed flights in 2002.<br><b>Sent 13: </b>The Air Force began using Ospreys in 2008 after testing the aircraft in 2006.<br><b>Sent 14: </b>They were first deployed by the Marines in Iraq in 2007 after 18 years and $20 billion in development.<br>",After the Osprey resumed flights in 2002 how long did it take for the Air Force to begin using the aircraft?,4 years,1.0,0.0,0.75,1.0,0.9634361106293896,1.7134361106293896
195,"<b>Sent 1: </b>The judge leaned back in his chair and beckoned to Mr. Andrews.<br><b>Sent 2: </b>It was finished.<br><b>Sent 3: </b>Spear was free, and from different parts of the courtroom people were moving toward the door.<br><b>Sent 4: </b>Their numbers showed that the friends of the young man had been many.<br><b>Sent 5: </b>Mr. Thorndike felt a certain twinge of disappointment.<br><b>Sent 6: </b>Even though the result relieved and pleased him, he wished, in bringing it about, he had had some part.<br><b>Sent 7: </b>He begrudged to Isaacs & Sons the credit of having given Spear his liberty.<br><b>Sent 8: </b>His morning had been wasted.<br><b>Sent 9: </b>He had neglected his own interests, and in no way assisted those of Spear.<br><b>Sent 10: </b>He was moving out of the railed enclosure when Andrews called him by name.<br><b>Sent 11: </b>""His honor,"" he said impressively, ""wishes to speak to you."" The judge leaned over his desk and shook Mr. Thorndike by the hand.<br><b>Sent 12: </b>Then he made a speech.<br><b>Sent 13: </b>The speech was about public-spirited citizens who, to the neglect of their own interests, came to assist the ends of justice, and fellow-creatures in misfortune.<br><b>Sent 14: </b>He purposely spoke in a loud voice, and every one stopped to listen.<br><b>Sent 15: </b>""The law, Mr. Thorndike, is not vindictive,"" he said.<br><b>Sent 16: </b>""It wishes only to be just.<br><b>Sent 17: </b>Nor can it be swayed by wealth or political or social influences.<br><b>Sent 18: </b>But when there is good in a man, I, personally, want to know it, and when gentlemen like yourself, of your standing in this city, come here to speak a good word for a man, we would stultify the purpose of justice if we did not listen.<br><b>Sent 19: </b>I thank you for coming, and I wish more of our citizens were as unselfish and public-spirited."" It was all quite absurd and most embarrassing, but inwardly Mr. Thorndike glowed with pleasure.<br><b>Sent 20: </b>It was a long time since any one had had the audacity to tell him he had done well.<br>",Why did the judge loudly thank Mr. Thorndike for coming?,So that other citizens could hear,1.0,0.0,0.75,1.0,0.9483308810316792,1.698330881031679
228,"<b>Sent 1: </b>In many parts of the world, trees lose their leaves in autumn.<br><b>Sent 2: </b>The leaves turn color.<br><b>Sent 3: </b>Then fall from the trees to the ground.<br><b>Sent 4: </b>As the leaves are falling, they have kinetic energy.<br><b>Sent 5: </b>While they are still attached to the trees they also have energy.<br><b>Sent 6: </b>When they are attached they are not in motion, so how can they have energy?<br><b>Sent 7: </b>Instead of kinetic energy, they have stored energy.<br><b>Sent 8: </b>This stored energy is called potential energy.<br><b>Sent 9: </b>An object has potential energy because of its position.<br><b>Sent 10: </b>For example, leaves on trees have potential energy because they could fall.<br><b>Sent 11: </b>They fall because of the pull of gravity.<br><b>Sent 12: </b>Potential energy can be transferred into motion.<br><b>Sent 13: </b>Motion can also be turned back into potential energy.<br><b>Sent 14: </b>Objects have potential energy due to their position.<br><b>Sent 15: </b>A leaf on a tree branch has potential energy.<br><b>Sent 16: </b>The leafs energy can be turned into motion as it falls.<br><b>Sent 17: </b>Once the leaf is on the ground, it has no more potential unless it is lifted back up.<br>",What kind of energy do leaves have while still on the trees?,Potential energy,1.0,0.0,0.75,1.0,0.9286461130031352,1.6786461130031352
246,"<b>Sent 1: </b> Heavy wooden shutters dulled the noise of the boisterous gale outside.<br> <b>Sent 2: </b>A thick red curtain hung over the door, and a cheery log fire burnt in the stove.<br> <b>Sent 3: </b>A man and woman sat over it; the man, a tall, repulsive-looking creature, with unkempt hair and matted beard, his age apparently about fifty.<br> <b>Sent 4: </b>The woman looked seventy or more.<br> <b>Sent 5: </b>She too had once been tall, but now old age gave her a withered, witch-like appearance, in spite of her great height.<br> <b>Sent 6: </b>She was dressed in limp, faded garments, with a tattered shawl crossed over her chest, and had a scared, miserable look in her bleared old eyes.<br> <b>Sent 7: </b>There were a few words of explanation from the man who had come home, and then, in gruff but not unkindly tones, he bade Babette be seated, and told his mother to get some supper speedily.<br> <b>Sent 8: </b>She spread a coarse cloth on the wooden table, and when all was ready, lifted a large black saucepan from the stove and turned out a smoking, savoury-looking stew.<br> <b>Sent 9: </b>The youngest son produced a bottle containing the thin acid wine of the country, and another of spirits.<br> <b>Sent 10: </b>As he set them on the table, Babette noticed that across one of his hands, which were much smaller and whiter than those of his brothers, there ran a dull red scar that looked as if he had had a bad cut there.<br> <b>Sent 11: </b>Then they all sat down, excepting the old mother, who busied herself in waiting on them.<br>",Is the age difference between the man and woman sitting in front of the stove more or less than 10 years?,There was 20 years of difference in age,0.0,1.0,0.75,0.0,0.9172477396664874,1.6672477396664873
218,"<b>Sent 1: </b>In many parts of the world, trees lose their leaves in autumn.<br><b>Sent 2: </b>The leaves turn color.<br><b>Sent 3: </b>Then fall from the trees to the ground.<br><b>Sent 4: </b>As the leaves are falling, they have kinetic energy.<br><b>Sent 5: </b>While they are still attached to the trees they also have energy.<br><b>Sent 6: </b>When they are attached they are not in motion, so how can they have energy?<br><b>Sent 7: </b>Instead of kinetic energy, they have stored energy.<br><b>Sent 8: </b>This stored energy is called potential energy.<br><b>Sent 9: </b>An object has potential energy because of its position.<br><b>Sent 10: </b>For example, leaves on trees have potential energy because they could fall.<br><b>Sent 11: </b>They fall because of the pull of gravity.<br><b>Sent 12: </b>Potential energy can be transferred into motion.<br><b>Sent 13: </b>Motion can also be turned back into potential energy.<br><b>Sent 14: </b>Objects have potential energy due to their position.<br><b>Sent 15: </b>A leaf on a tree branch has potential energy.<br><b>Sent 16: </b>The leafs energy can be turned into motion as it falls.<br><b>Sent 17: </b>Once the leaf is on the ground, it has no more potential unless it is lifted back up.<br>",How does potential energy exist and change?,Through gravity,1.0,0.0,0.75,1.0,0.9007835619883016,1.6507835619883016
176,"<b>Sent 1: </b>The judge leaned back in his chair and beckoned to Mr. Andrews.<br><b>Sent 2: </b>It was finished.<br><b>Sent 3: </b>Spear was free, and from different parts of the courtroom people were moving toward the door.<br><b>Sent 4: </b>Their numbers showed that the friends of the young man had been many.<br><b>Sent 5: </b>Mr. Thorndike felt a certain twinge of disappointment.<br><b>Sent 6: </b>Even though the result relieved and pleased him, he wished, in bringing it about, he had had some part.<br><b>Sent 7: </b>He begrudged to Isaacs & Sons the credit of having given Spear his liberty.<br><b>Sent 8: </b>His morning had been wasted.<br><b>Sent 9: </b>He had neglected his own interests, and in no way assisted those of Spear.<br><b>Sent 10: </b>He was moving out of the railed enclosure when Andrews called him by name.<br><b>Sent 11: </b>""His honor,"" he said impressively, ""wishes to speak to you."" The judge leaned over his desk and shook Mr. Thorndike by the hand.<br><b>Sent 12: </b>Then he made a speech.<br><b>Sent 13: </b>The speech was about public-spirited citizens who, to the neglect of their own interests, came to assist the ends of justice, and fellow-creatures in misfortune.<br><b>Sent 14: </b>He purposely spoke in a loud voice, and every one stopped to listen.<br><b>Sent 15: </b>""The law, Mr. Thorndike, is not vindictive,"" he said.<br><b>Sent 16: </b>""It wishes only to be just.<br><b>Sent 17: </b>Nor can it be swayed by wealth or political or social influences.<br><b>Sent 18: </b>But when there is good in a man, I, personally, want to know it, and when gentlemen like yourself, of your standing in this city, come here to speak a good word for a man, we would stultify the purpose of justice if we did not listen.<br><b>Sent 19: </b>I thank you for coming, and I wish more of our citizens were as unselfish and public-spirited."" It was all quite absurd and most embarrassing, but inwardly Mr. Thorndike glowed with pleasure.<br><b>Sent 20: </b>It was a long time since any one had had the audacity to tell him he had done well.<br>",What was the judges result and did it please or displease Mr. Thorndike?,Innocent,1.0,0.0,0.75,1.0,0.8985554685956303,1.6485554685956303
