Unnamed: 0,phrase_id,three_way_labels,five_way_labels,sentence_id,content,ternary_labels,sentence,pred,softmax_entropy
4,13788,1,4,65,"a pleasant enough movie , held together by skilled ensemble actors .",2,a pleasant enough movie held together by skilled ensemble actors .,2,1.0562108123558358
1,13813,1,5,22,"a thoughtful , provocative , insistently humanizing film .",2,a thoughtful provocative insistently humanizing film .,2,0.978742689127216
7,14082,0,3,121,"hip-hop has a history , and it 's a metaphor for this love story .",1,hip hop has a history and it 's a metaphor for this love story .,1,1.3641841868481623
0,14371,1,4,8,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,2,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,2,0.9584859705693163
5,14493,1,5,79,"the appearance of treebeard and gollum 's expanded role will either have you loving what you 're seeing , or rolling your eyes .",2,the appearance of treebeard and gollum 's expanded role will either have you loving what you 're seeing or rolling your eyes .,2,0.5289425317309926
3,14548,1,4,40,"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",2,though it is by no means his best work laissez passer is a distinguished and distinctive effort by a bona fide master a fascinating film replete with rewards to be had by all willing to make the effort to reap them .,2,0.9751070618793015
2,14633,1,5,23,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",2,with a cast that includes some of the top actors working in independent film lovely amazing involves us because it is so incisive so bleakly amusing about how we go about our lives .,2,0.15404855800481124
8,14635,1,5,223,"with the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved .",2,with the film 's striking ending one realizes that we have a long way to go before we fully understand all the sexual permutations involved .,2,1.0028456276890114
13,18575,1,4,415,"a deceivingly simple film , one that grows in power in retrospect .",2,a deceivingly simple film one that grows in power in retrospect .,1,1.3770552824474096
9,18675,1,4,226,an unabashedly schmaltzy and thoroughly enjoyable true story .,2,an unabashedly schmaltzy and thoroughly enjoyable true story .,2,0.475761583478905
12,18959,1,5,386,"if no one singles out any of these performances as award-worthy , it 's only because we would expect nothing less from this bunch .",2,if no one singles out any of these performances as award worthy it 's only because we would expect nothing less from this bunch .,1,1.476847183714649
11,19365,1,4,291,this is such a dazzlingly self-assured directorial debut that it 's hard to know what to praise first .,2,this is such a dazzlingly self assured directorial debut that it 's hard to know what to praise first .,2,1.3103514673449674
23,24277,1,4,556,"a bowel-curdling , heart-stopping recipe for terror .",2,a bowel curdling heart stopping recipe for terror .,2,1.3998383401551584
42,24441,1,5,933,a refreshingly honest and ultimately touching tale of the sort of people usually ignored in contemporary american film .,2,a refreshingly honest and ultimately touching tale of the sort of people usually ignored in contemporary american film .,1,1.5397807951448768
44,24480,1,5,970,"a stunning piece of visual poetry that will , hopefully , be remembered as one of the most important stories to be told in australia 's film history .",2,a stunning piece of visual poetry that will hopefully be remembered as one of the most important stories to be told in australia 's film history .,0,1.3105558687255179
47,24617,1,5,998,"an endlessly fascinating , landmark movie that is as bold as anything the cinema has seen in years .",2,an endlessly fascinating landmark movie that is as bold as anything the cinema has seen in years .,2,0.7162348631952948
48,24626,1,5,1038,an excellent romp that boasts both a heart and a mind .,2,an excellent romp that boasts both a heart and a mind .,2,1.204219941601623
38,24638,1,4,764,an incredibly clever and superbly paced caper filled with scams within scams within scams .,2,an incredibly clever and superbly paced caper filled with scams within scams within scams .,1,1.4713022910681812
31,24868,1,4,662,both deeply weird and charmingly dear .,2,both deeply weird and charmingly dear .,2,1.397854520277456
29,25019,1,5,650,"compelling as it is exotic , fast runner has a plot that rivals shakespeare for intrigue , treachery and murder .",2,compelling as it is exotic fast runner has a plot that rivals shakespeare for intrigue treachery and murder .,1,1.512888211994761
45,25083,1,5,975,"dazzling and sugar-sweet , a blast of shallow magnificence that only sex , scandal , and a chorus line of dangerous damsels can deliver .",2,dazzling and sugar sweet a blast of shallow magnificence that only sex scandal and a chorus line of dangerous damsels can deliver .,0,1.207227574199912
43,25110,1,5,952,"despite what anyone believes about the goal of its makers , the show ... represents a spectacular piece of theater , and there 's no denying the talent of the creative forces behind it .",2,despite what anyone believes about the goal of its makers the show ... represents a spectacular piece of theater and there 's no denying the talent of the creative forces behind it .,2,1.0944978480648904
