sample_id,confidence,pred_label,c,n,e
0,0.3337741966580776,contradiction,0.3337741966580776,0.3326924632517485,0.3335333400901739
1,0.33713379699395263,neutral,0.3325651463865188,0.33713379699395263,0.3303010566195285
2,0.34311342330019445,contradiction,0.34311342330019445,0.32397112804791167,0.33291544865189393
3,0.3441110790579604,entailment,0.32823426160280356,0.327654659339236,0.3441110790579604
4,0.3395707494606776,contradiction,0.3395707494606776,0.33060937653437034,0.32981987400495205
5,0.33865293876307945,entailment,0.3342105228183504,0.3271365384185701,0.33865293876307945
6,0.34778531331410284,neutral,0.326184076027618,0.34778531331410284,0.32603061065827904
7,0.34450978900545637,entailment,0.33531412106133446,0.3201760899332093,0.34450978900545637
8,0.3530190435676231,contradiction,0.3530190435676231,0.3275054136756265,0.3194755427567504
9,0.34429185831145936,contradiction,0.34429185831145936,0.33568836220085807,0.3200197794876826
10,0.3471850081728112,contradiction,0.3471850081728112,0.3199089538442531,0.33290603798293567
11,0.34127693028762784,entailment,0.33171037262033365,0.32701269709203856,0.34127693028762784
12,0.3489796885527201,entailment,0.3155552178036617,0.3354650936436183,0.3489796885527201
13,0.33949577426863,entailment,0.3326108780505404,0.32789334768082956,0.33949577426863
14,0.345876211952811,entailment,0.32098926179841186,0.33313452624877715,0.345876211952811
15,0.3395629998695586,contradiction,0.3395629998695586,0.323011231687365,0.33742576844307637
16,0.33893732958351946,neutral,0.3305297660656153,0.33893732958351946,0.33053290435086524
17,0.3357490572400363,contradiction,0.3357490572400363,0.33047711668868907,0.33377382607127476
18,0.33877921105357334,entailment,0.3249338930543634,0.33628689589206323,0.33877921105357334
19,0.3445290451860089,contradiction,0.3445290451860089,0.3265011803496253,0.3289697744643658
20,0.33905656464087874,neutral,0.3294359074666061,0.33905656464087874,0.3315075278925151
21,0.3391330773905879,contradiction,0.3391330773905879,0.33745342386493343,0.3234134987444788
22,0.3490135898414608,contradiction,0.3490135898414608,0.33087944403584774,0.32010696612269135
23,0.3410413790339884,neutral,0.32974624217315757,0.3410413790339884,0.32921237879285403
24,0.34089229438527113,entailment,0.3190788996385613,0.3400288059761675,0.34089229438527113
25,0.34360986002103805,contradiction,0.34360986002103805,0.3273454585347643,0.3290446814441977
26,0.3603508657783242,contradiction,0.3603508657783242,0.3153991971999201,0.32424993702175575
27,0.3376168020453579,contradiction,0.3376168020453579,0.33070322293058857,0.3316799750240535
28,0.34208737442872295,contradiction,0.34208737442872295,0.33687471443392997,0.3210379111373472
29,0.3438448928819105,neutral,0.3247808614143056,0.3438448928819105,0.3313742457037837
30,0.3433299801421642,neutral,0.3364310484418795,0.3433299801421642,0.32023897141595636
31,0.337834421569751,neutral,0.33603589859859434,0.337834421569751,0.3261296798316546
32,0.34185261873607287,neutral,0.33988340823597485,0.34185261873607287,0.3182639730279523
33,0.34517146407682175,entailment,0.32311273939259855,0.33171579653057964,0.34517146407682175
34,0.34144290077797124,contradiction,0.34144290077797124,0.33921041848447026,0.31934668073755845
35,0.3426299419518674,neutral,0.32277032000304395,0.3426299419518674,0.3345997380450886
36,0.3398150654964814,entailment,0.3306256216334311,0.3295593128700876,0.3398150654964814
37,0.33839291731794224,neutral,0.3381024557848893,0.33839291731794224,0.32350462689716836
38,0.3464391783651823,contradiction,0.3464391783651823,0.3281478700656199,0.32541295156919775
39,0.34009696049451893,neutral,0.3240608517166342,0.34009696049451893,0.33584218778884695
40,0.3367693494441725,contradiction,0.3367693494441725,0.327806565364024,0.3354240851918035
41,0.3442483732065516,neutral,0.33158754175351546,0.3442483732065516,0.3241640850399328
42,0.34327682998408054,entailment,0.3194147776086792,0.33730839240724025,0.34327682998408054
43,0.339506478232406,neutral,0.32749377378802996,0.339506478232406,0.33299974797956405
44,0.34571794978994275,contradiction,0.34571794978994275,0.3330107820987163,0.32127126811134105
45,0.34228598097567353,neutral,0.3318869698606356,0.34228598097567353,0.32582704916369076
46,0.34240484203473986,contradiction,0.34240484203473986,0.33817069214226286,0.31942446582299716
47,0.33510922144036304,neutral,0.33084247191334115,0.33510922144036304,0.33404830664629576
48,0.33483677379231674,entailment,0.33161771664084694,0.33354550956683643,0.33483677379231674
49,0.3402071100103205,neutral,0.3254892723215597,0.3402071100103205,0.3343036176681197
50,0.3520388644518035,neutral,0.3175428933221901,0.3520388644518035,0.33041824222600646
51,0.3426970669653097,entailment,0.33310272283399256,0.32420021020069767,0.3426970669653097
52,0.34067609427598883,neutral,0.3277456385448802,0.34067609427598883,0.33157826717913086
53,0.34209983989694076,neutral,0.32820474273478367,0.34209983989694076,0.3296954173682755
54,0.3395950852919767,entailment,0.3243688980284872,0.3360360166795361,0.3395950852919767
55,0.3436885390573144,entailment,0.33614296874875726,0.32016849219392834,0.3436885390573144
56,0.3415997112513703,contradiction,0.3415997112513703,0.32825381364300793,0.3301464751056217
57,0.3446527766406624,neutral,0.3354433720311952,0.3446527766406624,0.31990385132814236
58,0.3375500459942241,entailment,0.3294551021428846,0.33299485186289135,0.3375500459942241
59,0.3497305423807371,contradiction,0.3497305423807371,0.3261531152931145,0.32411634232614844
60,0.34149305806033753,contradiction,0.34149305806033753,0.32694993289874813,0.33155700904091434
61,0.3387184086366501,entailment,0.3342587532153843,0.32702283814796573,0.3387184086366501
62,0.3441488682258295,contradiction,0.3441488682258295,0.33564959466614014,0.3202015371080304
63,0.3440089808140671,entailment,0.32948013391608777,0.3265108852698452,0.3440089808140671
64,0.34464149660785726,contradiction,0.34464149660785726,0.33335517408365906,0.3220033293084837
65,0.3445938623402617,neutral,0.32109071993125377,0.3445938623402617,0.33431541772848455
66,0.33990092926979804,neutral,0.3310113175833415,0.33990092926979804,0.3290877531468605
67,0.3405989741512355,contradiction,0.3405989741512355,0.3317684684997689,0.32763255734899555
68,0.33865176559232746,contradiction,0.33865176559232746,0.332825705475636,0.3285225289320367
69,0.33778961961161647,contradiction,0.33778961961161647,0.33484549228352184,0.3273648881048616
70,0.3373591098773637,contradiction,0.3373591098773637,0.3275954363372257,0.3350454537854105
71,0.3452716862333507,entailment,0.32627275588055704,0.3284555578860922,0.3452716862333507
72,0.3429029772802566,entailment,0.34000548861930424,0.31709153410043933,0.3429029772802566
73,0.33790606460419254,neutral,0.33249322814074345,0.33790606460419254,0.3296007072550639
74,0.34191137924353115,contradiction,0.34191137924353115,0.3287332901604629,0.32935533059600597
75,0.3376982316301627,neutral,0.33686929131818416,0.3376982316301627,0.3254324770516532
76,0.34006437783920135,neutral,0.338883286461984,0.34006437783920135,0.3210523356988147
77,0.3400176453062653,neutral,0.3283558531814575,0.3400176453062653,0.3316265015122771
78,0.3370288323897296,contradiction,0.3370288323897296,0.32626076008800237,0.3367104075222679
79,0.3434134453509629,contradiction,0.3434134453509629,0.31783210774114223,0.33875444690789475
80,0.3359927687154331,contradiction,0.3359927687154331,0.33511512256680986,0.32889210871775704
81,0.3418754720248108,neutral,0.3188052663605875,0.3418754720248108,0.33931926161460185
82,0.3432152874376834,neutral,0.3262794753532746,0.3432152874376834,0.33050523720904196
