paragraph_id,sentence_id,content,labels,labels_binary,mean_of_fixations,max_of_fixations,min_of_fixations,median_of_fixations,mean_of_ trts,max_of_trts,min_of_trts,median_of_trts,mean_of_ omissionRates,max_of_omissionRates,min_of_omissionRates,median_of_omissionRates,mean_of_pupilSizes,max_of_pupilSizes,min_of_pupilSizes,median_of_pupilSizes,zab_accuracy,zdm_accuracy,zdn_accuracy,zjm_accuracy,zjn_accuracy,zjs_accuracy,zkh_accuracy,zkw_accuracy,zmg_accuracy,sentence_accuracy,difficulty_1pl,difficulty_4pl,number_of_words,number_of_characters
38,1,"He won the Gold Medal of the Royal Astronomical Society in 1892, and also later served as president of that organization.",AWARD,1,27.375,44,9,27.5,3138.625,5356,898,2799,0.29166666666667,0.61904761904762,0.095238095238095,0.26190476190476,12281,21232,7017,11082.5,1,1,1,1,0,1,1,1,1,0.888888888888889,-0.964363873004913,-3.07296323776245,21,121
41,1,"Dole was twice decorated for heroic achievement, receiving two Purple Hearts for his injuries, and the Bronze Star Medal for his attempt to assist a downed radio man.",AWARD,1,30,45,10,30.5,3539.625,6227,1082,2842,0.29464285714286,0.64285714285714,0.10714285714286,0.25,16903.625,23388,12021,17179.5,1,1,1,1,0,1,1,1,1,0.888888888888889,-0.501266419887542,-2.23346543312072,28,166
50,2,President Clinton awarded him the Presidential Medal of Freedom in early 1997 for his service in the military and his political career.,AWARD,1,24.875,48,13,23,2821.625,5688,1250,2365.5,0.28409090909091,0.54545454545455,0.045454545454545,0.29545454545455,12474.625,15982,9491,12645.5,1,1,1,1,0,1,1,1,1,0.888888888888889,-0.782211065292358,-2.34494400024414,22,135
123,5,The book was awarded the 1957 Pulitzer Prize for Biography.,AWARD,1,11.5,18,6,11.5,1420.625,2505,658,1110.5,0.3,0.5,0,0.3,5479.75,12315,3447,4444.5,1,1,1,1,0,1,1,1,1,0.888888888888889,0.13060975074768,-1.93764650821685,10,59
4,2,"The Foundation has grown immensely and, by 1950, had become national and international in scope.",CONTROL,2,17,28,8,17,2030.125,3350,679,1829,0.275,0.46666666666667,0.066666666666667,0.23333333333333,9588.375,13758,6517,9826,1,1,1,1,1,1,1,1,1,1,-22.6047592163085,1.58795595169067,15,96
124,1,"Kennedy's other decorations of the Second World War include the Purple Heart, Asiatic-Pacific Campaign Medal, and the World War II Victory Medal.",AWARD,1,29,78,10,21.5,3316,9747,928,2035.5,0.27272727272727,0.59090909090909,0.045454545454545,0.29545454545455,12748.625,14958,9711,12722,1,1,1,1,0,1,1,1,1,0.888888888888889,-0.414614826440811,-2.13759493827819,22,145
138,1,"Sir Andrew Fielding Huxley, OM, FRS (born 22 November 1917, Hampstead, London, England, UK) is a British physiologist and biophysicist, who won the 1963 Nobel Prize in Physiology or Medicine for his work with Alan Lloyd Hodgkin on the basis of nerve ""action potentials,"" the electrical impulses that enable the activity of an organism to be coordinated by a central nervous system.",AWARD,1,50.375,86,20,45.5,5860.625,12006,1669,4672,0.42540322580645,0.74193548387097,0.17741935483871,0.41935483870968,28616.375,39591,16564,29280,1,1,1,1,0,1,1,1,1,0.888888888888889,-1.02062427997589,-2.0075397491455,62,381
147,1,"He was twice nominated for an Academy Award for Best Supporting Actor, the first for his role in the 1943 film, Sahara then for his performance in the 1945 film, A Medal for Benny for which he won the Golden Globe Award for Best Supporting Actor - Motion Picture.",AWARD,1,41.25,104,10,35.5,4888.75,14562,995,3248,0.44387755102041,0.81632653061224,0.16326530612245,0.41836734693878,21688.875,29763,12640,19022.5,1,1,1,1,1,1,1,1,1,1,-22.1587448120117,1.44169223308563,49,263
154,1,"In recognition of his work with electricity, Franklin was elected a Fellow of the Royal Society and received its Copley Medal in 1753.",AWARD,1,24.375,45,13,21,2958.125,5377,1355,2165,0.31521739130435,0.52173913043478,0.1304347826087,0.3695652173913,13621.875,16853,9689,13611.5,1,1,1,1,1,1,1,1,1,1,-17.8457107543945,1.58750927448272,23,134
180,3,"In 1991 he was awarded the Presidential Medal of Freedom for ""preserving America's defenses at a time of great change around the world.""",AWARD,1,23.875,40,9,22,2871.75,5735,915,2343,0.375,0.65217391304348,0.08695652173913,0.39130434782609,11869.25,15567,9501,10898,1,1,1,1,1,1,1,1,1,1,-21.1543769836425,1.4547346830368,23,136
