model_1,model_2,micro,macro,weighted
davinci,lstm,0.2413793103448276,0.20345816260394808,0.29460074040711404
davinci,roberta,0.41732283464566927,0.4026976953578169,0.44584466030624675
davinci,tf-idf,0.2949640287769784,0.2667989417989418,0.3275925925925926
davinci,random,0.2,0.13125,0.255
lstm,davinci,0.2413793103448276,0.20345816260394808,0.2097702980303413
lstm,roberta,0.2857142857142857,0.28993252361673416,0.28335852451641924
lstm,tf-idf,0.1320754716981132,0.1327185244587009,0.13201906798538715
lstm,random,0.1320754716981132,0.09854994629430719,0.14687910251820024
roberta,davinci,0.41732283464566927,0.4026976953578169,0.40616071892369227
roberta,lstm,0.2857142857142857,0.28993252361673416,0.29209086819613134
roberta,tf-idf,0.40625,0.4045425216156924,0.410719662752183
roberta,random,0.125,0.09803921568627452,0.13333333333333333
tf-idf,davinci,0.2949640287769784,0.2667989417989418,0.27625220458553795
tf-idf,lstm,0.1320754716981132,0.1327185244587009,0.1322641005078856
tf-idf,roberta,0.40625,0.4045425216156924,0.4124644040091195
tf-idf,random,0.1464968152866242,0.11337667454688731,0.16124682602223972
random,davinci,0.2,0.13125,0.17083333333333334
random,lstm,0.1320754716981132,0.09854994629430719,0.13289175319250507
random,roberta,0.125,0.09803921568627452,0.1328976034858388
random,tf-idf,0.1464968152866242,0.11337667454688731,0.15272305402329042
