sample_id,sentence_1,sentence_2,gold_label,agg_human_label,agg_human_confidence,num_trues,num_falses,false_machs,true_machs
0,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,contradiction,contradiction,0.8382804503582395,3,3,"[0, 1, 2]","[3, 4, 5]"
1,"People playing cricket in the park, pine trees in the back.","People are playing sports in the park, near the pine trees",entailment,entailment,0.8853633572159673,4,2,"[0, 1]","[2, 3, 4, 5]"
2,Some people hanging out on a large backyard deck.,people hanging out on deck,entailment,entailment,0.9508700102354144,5,1,[0],"[1, 2, 3, 4, 5]"
3,A group of dancers are performing.,The audience is silent.,neutral,neutral,0.8648925281473899,3,3,"[0, 1, 2]","[3, 4, 5]"
4,A large brown and white dog is carrying a stick through a white and snowy area.,A puppy is playing fetch with a stick.,neutral,neutral,0.5649948822927329,6,0,[],"[0, 1, 2, 3, 4, 5]"
5,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral,neutral,0.7881269191402251,3,3,"[0, 2, 3]","[1, 4, 5]"
6,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,contradiction,neutral,0.6908904810644831,2,4,"[1, 3, 4, 5]","[0, 2]"
7,A young girl in a white dress watches bubbles while a woman and girl toddler observe.,A girl is watching bubbles.,entailment,entailment,0.9723643807574208,5,1,[0],"[1, 2, 3, 4, 5]"
8,a toddler playing with a toy car next to a dog.,A toddler plays with toy cars while his dog sleeps.,neutral,neutral,0.7492323439099283,4,2,"[0, 1]","[2, 3, 4, 5]"
9,A man in and a woman are holding their towels at the beach.,People are at the beach,entailment,entailment,0.962128966223132,4,2,"[0, 4]","[1, 2, 3, 5]"
10,Man and woman crossing the street at dusk.,A husband and a wife are enjoying a leisurely stroll in the evening.,neutral,neutral,0.7758444216990789,5,1,[0],"[1, 2, 3, 4, 5]"
11,A woman singing into a microphone while a man plays drums in the background.,They are playing a PlayStation.,contradiction,neutral,0.5578300921187308,3,3,"[0, 4, 5]","[1, 2, 3]"
12,"Two men in front of a projector screen, one at a microphone.",Three men about to present their best idea yet in front of their company.,neutral,neutral,0.7533265097236438,4,2,"[0, 3]","[1, 2, 4, 5]"
13,A cyclist is optimistic as he rushes through the air while on his BMX bike at a bicycle event.,A snowboarder flies through the air,contradiction,contradiction,0.7001023541453428,3,3,"[0, 1, 4]","[2, 3, 5]"
14,A boy in a blue and white shirt is pointing up and a second boy in a white shirt shields his eyes.,Two boys puch each other on swings.,contradiction,neutral,0.5087001023541453,2,4,"[0, 1, 4, 5]","[2, 3]"
15,A group of people in dark clothing are crossing a crosswalk.,A group of people in dark clothing are crossing a crosswalk to get to the store,neutral,neutral,0.8188331627430911,4,2,"[0, 1]","[2, 3, 4, 5]"
16,A girl is holding a camera and making a hand gesture.,A girl holds a camera.,entailment,entailment,0.977482088024565,5,1,[0],"[1, 2, 3, 4, 5]"
17,A man posing with a antique sewing machine.,He is a sewer.,neutral,neutral,0.8536335721596725,4,2,"[0, 1]","[2, 3, 4, 5]"
18,Five people standing by a gate.,Five fat people standing by a gate.,neutral,neutral,0.8751279426816786,5,1,[0],"[1, 2, 3, 4, 5]"
19,Man sweeping trash outside a large statue.,A man is on vacation.,contradiction,neutral,0.5015353121801432,1,5,"[1, 2, 3, 4, 5]",[0]
20,A man wearing an orange suit with his face painted white is holding a guitar above his shoulder.,There is one man in this picture.,entailment,neutral,0.6264073694984647,5,1,[5],"[0, 1, 2, 3, 4]"
21,Two men and a woman are inspecting the front tire of a bicycle.,There are a group of people near a bike.,entailment,entailment,0.8597748208802457,4,2,"[0, 4]","[1, 2, 3, 5]"
22,This path leads up to the apple market entrance.,This road goes up to apple market entrance,entailment,entailment,0.7400204708290685,3,3,"[0, 1, 4]","[2, 3, 5]"
23,A single runner is watched by onlookers in a race.,A man is running in a race.,entailment,entailment,0.6192425793244627,3,3,"[1, 3, 4]","[0, 2, 5]"
24,Two rodeo clowns are on the dirt.,Two circus clowns were riding bicycles.,contradiction,neutral,0.5987717502558854,4,2,"[0, 5]","[1, 2, 3, 4]"
25,A boy does a skateboarding trick in the air while holding the board with his left hand.,A sad boy does a skateboarding trick in the air while holding the board with his left hand.,neutral,neutral,0.81985670419652,6,0,[],"[0, 1, 2, 3, 4, 5]"
26,A young boy in a beige jacket laughs as he reaches for a teal balloon.,The boy plays with the balloon.,entailment,entailment,0.6581371545547595,4,2,"[0, 4]","[1, 2, 3, 5]"
27,A scene of snow and water.,a snow and water scene at sunset,neutral,neutral,0.797338792221085,6,0,[],"[0, 1, 2, 3, 4, 5]"
28,"A group of people are gathered in a crowd, some of which are holding spears.",A crowd of people are holding swords,contradiction,contradiction,0.4882292732855681,2,4,"[0, 1, 2, 4]","[3, 5]"
29,A man prepares food in a shanty kitchen.,A man is fixing a meal.,entailment,entailment,0.8863868986693961,4,2,"[1, 4]","[0, 2, 3, 5]"
30,There are two people sweeping a sidewalk in this picture.,The man is clearing leaves from the sidewalk.,neutral,neutral,0.714431934493347,4,2,"[0, 1]","[2, 3, 4, 5]"
