model_1,model_2,micro,macro,weighted
random_noisy,tfidf,0.08695652173913043,0.08328619909502262,0.08941176470588236
random_noisy,lstm,0.19047619047619047,0.1876543209876543,0.19570370370370369
random_noisy,roberta_calibrated,0.1111111111111111,0.10785455486542443,0.1126086956521739
random_noisy,davinci,0.2345679012345679,0.18293650793650795,0.18411904761904763
random_noisy,human,0.20481927710843373,0.19675925925925927,0.19
tfidf,random_noisy,0.08695652173913043,0.08328619909502262,0.08639423076923076
tfidf,lstm,0.20481927710843373,0.2067386636352154,0.21092838196286473
tfidf,roberta_calibrated,0.25,0.249480021893815,0.2525977011494253
tfidf,davinci,0.16279069767441862,0.10735009671179885,0.12056092843326885
tfidf,human,0.16279069767441862,0.14957264957264957,0.15564102564102564
lstm,random_noisy,0.19047619047619047,0.1876543209876543,0.19214814814814812
lstm,tfidf,0.20481927710843373,0.2067386636352154,0.20186244789693064
lstm,roberta_calibrated,0.47058823529411764,0.472135955831608,0.47812629399585915
lstm,davinci,0.17647058823529413,0.1574074074074074,0.15122222222222223
lstm,human,0.4084507042253521,0.4174603174603175,0.4305714285714285
roberta_calibrated,random_noisy,0.1111111111111111,0.10785455486542443,0.11078027950310558
roberta_calibrated,tfidf,0.25,0.249480021893815,0.2510738916256157
roberta_calibrated,lstm,0.47058823529411764,0.472135955831608,0.4715683229813664
roberta_calibrated,davinci,0.2987012987012987,0.23892580287929124,0.262375415282392
roberta_calibrated,human,0.4084507042253521,0.40910087719298244,0.40742763157894735
davinci,random_noisy,0.2345679012345679,0.18293650793650795,0.31185714285714283
davinci,tfidf,0.16279069767441862,0.10735009671179885,0.23226305609284334
davinci,lstm,0.17647058823529413,0.1574074074074074,0.2062222222222222
davinci,roberta_calibrated,0.2987012987012987,0.23892580287929124,0.35847176079734216
davinci,human,0.4084507042253521,0.3242424242424242,0.47063636363636363
human,random_noisy,0.20481927710843373,0.19675925925925927,0.2325
human,tfidf,0.16279069767441862,0.14957264957264957,0.1796153846153846
human,lstm,0.4084507042253521,0.4174603174603175,0.41304761904761905
human,roberta_calibrated,0.4084507042253521,0.40910087719298244,0.4095657894736842
human,davinci,0.4084507042253521,0.3242424242424242,0.3768181818181818
