sample_id,snli_id,sentence_1,sentence_2,label,item_difficulty,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,prob_0_no_cal,prob_1_no_cal,prob_2_no_cal,pred,confidence,prob_0_with_cal,prob_1_with_cal,prob_2_with_cal,pred_label,entropy_with_cal
0,1947351225.jpg#0r1c,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,contradiction,-1.75982247491244,0.8391393442622951,78.75,6.0,19,101,2.0349023543531075e-05,0.9999420642852783,3.750834002858028e-05,contradiction,0.999888949725484,2.2569535503894822e-05,0.999888949725484,8.848073901214374e-05,contradiction,0.0016998987000663044
1,3626964430.jpg#0r1e,"People playing cricket in the park, pine trees in the back.","People are playing sports in the park, near the pine trees",entailment,-2.1790869834078,0.8862704918032787,94.15,5.0,22,118,0.9692604541778564,0.0004265416937414557,0.030312923714518547,entailment,0.9207803682044536,0.9207803682044536,0.000353184706503752,0.07886644708904218,entailment,0.4026900507266539
2,4576144189.jpg#3r1e,Some people hanging out on a large backyard deck.,people hanging out on deck,entailment,-3.13717793250355,0.951844262295082,81.29,3.0,14,76,0.9959405660629272,0.00023766518279444426,0.0038217678666114807,entailment,0.9877328917049734,0.9877328917049734,0.00042729128859052853,0.011839817006435945,entailment,0.09814846262746246
3,507370108.jpg#3r1n,A group of dancers are performing.,The audience is silent.,neutral,-1.98210490343004,0.8657786885245902,83.32,3.0,10,58,0.0009571422706358135,0.26397091150283813,0.7350719571113586,neutral,0.5218537616165573,0.0010364261991920659,0.4771098121842505,0.5218537616165573,neutral,1.0092872129636947
4,3361210233.jpg#0r1n,A large brown and white dog is carrying a stick through a white and snowy area.,A puppy is playing fetch with a stick.,neutral,-0.280871833963571,0.5655737704918032,93.14,4.0,24,118,0.000110777655208949,8.092139614745975e-05,0.9998083710670471,neutral,0.9997588884335731,0.00014311151780146145,9.800004862541462e-05,0.9997588884335731,neutral,0.0034804772818405106
5,3512127856.jpg#2r1n,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral,-1.40847862599424,0.7889344262295082,79.77,4.0,17,93,0.0007261745049618185,0.0023816637694835663,0.9968921542167664,neutral,0.8976917968064886,0.004429398361018022,0.09787880483249373,0.8976917968064886,neutral,0.502583609881016
6,6775386430.jpg#1r1n,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,contradiction,0.962349262458267,0.2899590163934426,87.21,4.0,19,95,3.839525015791878e-05,0.9997358918190002,0.0002256794978165999,contradiction,0.9788721829059998,0.00015933928870943303,0.9788721829059998,0.02096847780529079,contradiction,0.1490794278453193
7,3433982387.jpg#1r1n,A young girl in a white dress watches bubbles while a woman and girl toddler observe.,A girl is watching bubbles.,entailment,-3.76147309861573,0.9733606557377048,86.2,4.0,21,113,0.9929775595664978,0.0003357490641064942,0.006686719600111246,entailment,0.9943356067450635,0.9943356067450635,0.00027607558328798153,0.0053883176716484115,entailment,0.05201883748415151
8,358127240.jpg#4r1n,a toddler playing with a toy car next to a dog.,A toddler plays with toy cars while his dog sleeps.,neutral,-1.17515875979249,0.75,103.12,2.0,21,99,0.00011930325854336843,7.3171679105144e-05,0.9998075366020203,neutral,0.9997582520948517,0.00015573426684352163,8.601363830490713e-05,0.9997582520948517,neutral,0.0034801714736824533
9,4919196839.jpg#0r1e,A man in and a woman are holding their towels at the beach.,People are at the beach,entailment,-3.42068383007488,0.9631147540983608,96.18,4.0,18,83,0.9997064471244812,3.956976070185192e-05,0.0002539537672419101,entailment,0.9996427784529022,0.9996427784529022,4.908567163381129e-05,0.0003081358754643188,entailment,0.004812040366959536
