sstb_id,zuco_id,content,control_id,sstb_label,BERT_MC_DROPOUT,BERT_SOFTMAX_ENTROPY,BERT_TEMPERATURE,TREE_LSTM_MC_DROPOUT
38,383,"Cantet perfectly captures the hotel lobbies, two-lane highways, and roadside cafes that permeate Vincent's days",,1,1.0760779902095,1.0070509474679,1.5139980160408,0.61782636546619
81,359,Gollum's `performance' is incredible!,,1,0.24339345913671,0.16591098610566,1.3573695462904,1.4563960169663
86,206,"It's the best film of the year so far, the benchmark against which all other Best Picture contenders should be measured.",,1,0.42504764036212,0.32199989253573,1.4157775202545,1.5520921420351
94,255,"The movie is a blast of educational energy, as bouncy animation and catchy songs escort you through the entire 85 minutes.",,1,0.53631082743757,0.37631046583435,1.4331883558972,0.9279652979639
105,189,... a roller-coaster ride of a movie,25.0,1,0.43402977826873,0.42814448896054,1.461782535395,1.4083290205771
139,396,A classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done.,,1,1.1896309972942,1.0245575774472,1.5296449976163,1.0172751044368
155,93,It is intensely personal and yet -- unlike Quills -- deftly shows us the temper of the times.,,1,1.339877964793,1.1515087209647,1.5480736265868,0.23893211052056
219,299,It won't bust your gut -- and it's not intended to -- it's merely a blandly cinematic surgical examination of what makes a joke a joke.,,0,1.3985708280183,1.392251497495,1.569861936642,0.034996373994019
252,347,Remarkably accessible and affecting.,,1,0.74876439270575,0.41496494247697,1.4531969894812,1.4854787271956
262,50,I like the new footage and still love the old stuff.,,1,0.29680669145662,0.23828507995597,1.3970164488198,0.3063662049033
290,381,It's solid and affecting and exactly as thought-provoking as it should be.,41.0,1,0.69662467041765,0.4540194507655,1.4554432548842,0.84079937402605
342,178,This bold and lyrical first feature from Raja Amari expands the pat notion that middle-aged women just wanna have fun into a rousing treatise of sensual empowerment.,,1,0.84417735770805,0.69769775616771,1.4848944239312,0.82155889363003
344,336,Girls gone wild and gone civil again,,0,1.0103822514151,0.97449514760753,1.5331625587744,1.4849416147679
349,162,... always remains movingly genuine.,21.0,1,0.92290662971545,0.78465141052202,1.5038962710771,0.20122616525286
371,69,An intriguing and entertaining introduction to Johnson.,,1,0.21697288237189,0.15607406217752,1.3532946753521,1.5683737922241
384,121,"Celebrated at Sundance, this slight comedy of manners has winning performances and a glossy, glib charm that's hard to beat.",,1,1.4614569722369,1.4344871688765,1.5737907083183,0.65740158218819
406,308,"Often gruelling and heartbreaking to witness, but Seldahl and Wollter's sterling performances raise this far above the level of the usual maudlin disease movie.",,1,1.4277808773888,1.4000090329361,1.5714587955552,0.63318269298678
408,182,"The stunning, dreamlike visuals will impress even those viewers who have little patience for Euro-film pretension.",24.0,1,1.0674612294447,1.0157081241557,1.5351766475986,1.0275319397748
456,153,An inspiring and heart-affecting film about the desperate attempts of Vietnamese refugees living in U.S. relocation camps to keep their hopes alive in 1975.,,1,1.0471423391585,0.95301692227188,1.5332574931976,1.4743145650567
478,109,"Only an epic documentary could get it all down, and Spike Lee's Jim Brown: All American at long last gives its subject a movie worthy of his talents.",14.0,1,1.2151628537107,1.1735635181374,1.5481345084452,1.2279232063209
677,312,Ford deserves to be remembered at Oscar time for crafting this wonderful portrait of a conflicted soldier.,,1,0.82588270322252,0.69405954918003,1.4958328644913,1.4052629922591
726,18,A work of astonishing delicacy and force.,3.0,1,0.68449589493519,0.52577813694644,1.4795142906642,0.94392814589169
768,363,"Not as distinctive or even as humorous as its needs to be to stand out, but it has clearly been made with affection and care.",,0,1.2328977046677,1.1149674811446,1.5474032382138,1.4111728833957
793,342,"So young, so smart, such talent, such a wise ***.",,1,0.98096203924528,0.77747397256223,1.5130612265415,1.4404013807565
840,225,"``13 Conversations'' holds its goodwill close, but is relatively slow to come to the point.",,0,1.4590244496231,1.4738558894682,1.5788915417602,0.074099612602881
882,17,The film often achieves a mesmerizing poetry.,2.0,1,1.1100266775592,1.0264567818607,1.5232711485927,0.40672930953051
884,324,It's neither as romantic nor as thrilling as it should be.,38.0,-1,1.4941058147114,1.4125299718582,1.5724236182266,0.6945581566101
904,386,A richly imagined and admirably mature work from a gifted director who definitely has something on his mind.,,1,0.33491101709697,0.21829069943413,1.3913006054184,0.32269205579648
907,208,It never fails to engage us.,,1,1.41777028323,1.2780680880035,1.5593926647534,0.99654923605861
944,160,"There is a refreshing absence of cynicism in Stuart Little 2 -- quite a rarity, even in the family film market.",,1,1.4034833404575,1.3573856266682,1.5674411088484,1.3013464742907
974,260,"... a cute and sometimes side-splittingly funny blend of Legally Blonde and Drop Dead Gorgeous, starring Piper Perabo in what could be her breakthrough role.",,1,0.52181006723441,0.39550200984413,1.4328937496163,0.52150224459184
984,80,"Novak manages to capture a cruelly hilarious vein of black comedy in the situation with his cast of non-actors and a gritty, no-budget approach.",,1,1.5220399247951,1.5006076188272,1.5802061771434,0.11049068368239
990,291,The way Coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining.,,1,0.64856386066006,0.49788620560782,1.4677658118185,0.21837354072438
999,360,"... a haunting vision, with images that seem more like disturbing hallucinations.",,-1,0.70815180759173,0.57004617030889,1.4728946784325,0.46371288651645
1029,230,Genuinely touching because it's realistic about all kinds of love.,,1,0.45535051049186,0.32947619334705,1.4343365980657,0.24752564588146
1059,194,"This is cool, slick stuff, ready to quench the thirst of an audience that misses the summer blockbusters.",,1,1.2064978518123,1.1403717264341,1.537562562914,0.023063358748154
1134,173,The film serves as a valuable time capsule to remind us of the devastating horror suffered by an entire people.,,0,1.5413224476272,1.5528879369324,1.5830500822581,0.086905610335347
1147,221,"Not only is Undercover Brother as funny, if not more so, than both Austin Powers films, but it's also one of the smarter, savvier spoofs to come along in some time.",31.0,1,1.015774251485,0.84319138117065,1.5163959701417,0.45206270383132
1151,286,"The inhospitability of the land emphasizes the spare precision of the narratives and helps to give them an atavistic power, as if they were tales that had been handed down since the beginning of time.",,0,1.205982247825,1.2524228950201,1.560560770918,0.38410365809504
1175,9,"Ultimately feels emp11111ty and unsatisfying, like swallowing a Communion wafer without the wine.",,-1,1.033461291265,0.67098472290509,1.4970164490946,0.72998811723708
1183,60,One of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals... a psychological masterpiece.,,1,0.59229913449102,0.54288675607596,1.4694950973729,0.12180689485915
1211,40,"Beautifully observed, miraculously unsentimental comedy-drama.",,1,0.93795278990015,0.61193443673569,1.4840025219038,0.83086934021614
1228,282,The second coming of Harry Potter is a film far superior to its predecessor.,,1,1.1982424265969,1.1035044934992,1.5452773606665,0.72703981075634
1301,375,"Warm Water Under a Red Bridge is a quirky and poignant Japanese film that explores the fascinating connections between women, water, nature, and sexuality.",,1,0.69488377603429,0.51974446960622,1.4713459746615,0.81533828634546
1330,185,"For the most part, it's a work of incendiary genius, steering clear of knee-jerk reactions and quick solutions.",,1,1.3792602720141,1.3688274604475,1.5664819616046,1.2196327086315
1368,332,Griffiths proves she's that rare luminary who continually raises the standard of her profession.,,1,0.92469189562273,0.72602476061735,1.5022553846052,0.074395159312804
1371,384,"An important movie, a reminder of the power of film to move us and to make us examine our values.",,1,0.71332728150415,0.60372127625674,1.4657420919658,0.34067327895652
1381,103,"Creepy, authentic and dark.",,0,1.1376456294353,0.9066877198345,1.5191874205479,0.37619441371531
1389,139,And I've decided to leave a light on every night from now on.,,0,0.44075318203024,0.41523362237328,1.4718120476453,0.057108677151272
1393,106,"The film is a contrivance, as artificial as the video games Japanese teens play in a nightclub sequence, but it's an enjoyable one.",,0,0.91929619792588,0.79925394145883,1.5067955546053,0.69845201410891
1465,84,But it's too long and too convoluted and it ends in a muddle.,12.0,-1,0.3925329443553,0.29586315163833,1.4114363341814,1.5301324383557
1471,38,"The movie is for fans who can't stop loving anime, and the fanatical excess built into it.",,0,1.4452470914451,1.4365072770936,1.575342507777,0.72284333736615
1475,307,A strangely compelling and brilliantly acted psychological drama.,,1,0.47730942733667,0.30603700032843,1.4264855900538,0.43675965710358
1489,159,"For those who pride themselves on sophisticated, discerning taste, this might not seem like the proper cup of tea, however it is almost guaranteed that even the stuffiest cinema goers will laugh their 1*** off for an hour-and-a-half.",,1,1.5107864120186,1.4963852727659,1.5790059102231,0.51019500505167
1523,262,Few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands.,,1,1.2386408933106,1.2452810574691,1.5520596684859,1.2063244178061
1527,198,"While it regards 1967 as the key turning point of the 20th century, and returns again and again to images of dissidents in the streets, it's alarmingly current.",,0,1.1016342681624,1.0632089584021,1.5303587256174,0.37709048764112
1531,67,"Stephen Rea, Aidan Quinn, and Alan Bates play Desmond's legal eagles, and when joined by Brosnan, the sight of this grandiloquent quartet lolling in pretty Irish settings is a pleasant enough thing, `tis.",,1,0.73054601252588,0.63274575634696,1.4896930838555,0.095249103451542
