sample_id,snli_id,sentence_1,sentence_2,label,item_difficulty,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,c,n,e,pred,entropy,confidence,pred_label
0,1947351225.jpg#0r1c,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,contradiction,-1.75982247491244,0.8391393442622951,78.75,6.0,19,101,0.438022019156848,0.4827390592870494,0.07923892155610247,1,1.3186857036652748,0.4827390592870494,neutral
1,3626964430.jpg#0r1e,"People playing cricket in the park, pine trees in the back.","People are playing sports in the park, near the pine trees",entailment,-2.1790869834078,0.8862704918032787,94.15,5.0,22,118,0.10015395984925912,0.5957040529415606,0.30414198720918045,1,1.2999383371499658,0.5957040529415606,neutral
2,4576144189.jpg#3r1e,Some people hanging out on a large backyard deck.,people hanging out on deck,entailment,-3.13717793250355,0.951844262295082,81.29,3.0,14,76,0.2213787606314266,0.2744154509064214,0.504205788462152,2,1.491642762774848,0.504205788462152,entailment
3,507370108.jpg#3r1n,A group of dancers are performing.,The audience is silent.,neutral,-1.98210490343004,0.8657786885245902,83.32,3.0,10,58,0.8861769467734905,0.09270851817538976,0.02111453505111987,0,0.5901028520778095,0.8861769467734905,contradiction
4,3361210233.jpg#0r1n,A large brown and white dog is carrying a stick through a white and snowy area.,A puppy is playing fetch with a stick.,neutral,-0.280871833963571,0.5655737704918032,93.14,4.0,24,118,0.18516318412750526,0.7922851432389809,0.022551672633513827,1,0.8400331120664373,0.7922851432389809,neutral
5,3512127856.jpg#2r1n,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral,-1.40847862599424,0.7889344262295082,79.77,4.0,17,93,0.2967336240473832,0.3725748224791144,0.3306915534735025,1,1.5787273823164454,0.3725748224791144,neutral
6,6775386430.jpg#1r1n,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,contradiction,0.962349262458267,0.2899590163934426,87.21,4.0,19,95,0.18647795289283942,0.4467343358754767,0.36678771123168386,1,1.5018907889262778,0.4467343358754767,neutral
7,3433982387.jpg#1r1n,A young girl in a white dress watches bubbles while a woman and girl toddler observe.,A girl is watching bubbles.,entailment,-3.76147309861573,0.9733606557377048,86.2,4.0,21,113,0.21256573476419277,0.24187094328288386,0.5455633219529233,2,1.447074092900827,0.5455633219529233,entailment
8,358127240.jpg#4r1n,a toddler playing with a toy car next to a dog.,A toddler plays with toy cars while his dog sleeps.,neutral,-1.17515875979249,0.75,103.12,2.0,21,99,0.6570734732660176,0.16097072874010354,0.18195579799387882,0,1.2695913175158724,0.6570734732660176,contradiction
9,4919196839.jpg#0r1e,A man in and a woman are holding their towels at the beach.,People are at the beach,entailment,-3.42068383007488,0.9631147540983608,96.18,4.0,18,83,0.21685880243995106,0.2333312640399329,0.549809933520116,2,1.442584567538148,0.549809933520116,entailment
10,2550027486.jpg#3r1n,Man and woman crossing the street at dusk.,A husband and a wife are enjoying a leisurely stroll in the evening.,neutral,-1.33186925978517,0.7766393442622951,86.2,6.0,21,111,0.2582658056118631,0.7280607252254306,0.013673469162706247,1,0.9224408744038312,0.7280607252254306,neutral
11,5635975939.jpg#3r1c,A woman singing into a microphone while a man plays drums in the background.,They are playing a PlayStation.,contradiction,0.327321146263317,0.4252049180327868,78.75,6.0,19,108,0.9429438917750238,0.02691823079541832,0.03013787742955793,0,0.3725711673694706,0.9429438917750238,contradiction
12,4900546628.jpg#2r1n,"Two men in front of a projector screen, one at a microphone.",Three men about to present their best idea yet in front of their company.,neutral,-1.19853076001311,0.7540983606557377,92.12,6.0,26,134,0.17708415556663548,0.7208061808730675,0.10210966356029703,1,1.1188407153288091,0.7208061808730675,neutral
13,7786624414.jpg#2r1c,A cyclist is optimistic as he rushes through the air while on his BMX bike at a bicycle event.,A snowboarder flies through the air,contradiction,-0.911334779346956,0.7008196721311475,84.17,5.0,25,130,0.4392037435835473,0.09694784967478287,0.4638484067416698,2,1.361812094118071,0.4638484067416698,entailment
