sample_id,content,gold_label,machine_0_pred,machine_0_confidence,machine_1_pred,machine_1_confidence,machine_2_pred,machine_2_confidence,machine_3_pred,machine_3_confidence,machine_4_pred,machine_4_confidence,machine_5_pred,machine_5_confidence,agg_human_label,agg_human_confidence
0,"A pleasant enough movie , held together by skilled ensemble actors .",1.0,0.0,0.3333333333333333,-1.0,0.446581992017106,1.0,0.9042452,1.0,0.8825879068271184,1.0,0.566401994387798,1.0,0.73,1.0,0.7887887887887888
1,"A thoughtful , provocative , insistently humanizing film .",1.0,1.0,0.3333333333333333,1.0,0.3941670370998816,1.0,0.87218714,1.0,0.999300885994156,1.0,0.567883050560068,1.0,0.94,1.0,0.7187187187187187
2,"Hip-hop has a history , and it 's a metaphor for this love story .",0.0,1.0,0.3333333333333333,-1.0,0.5417453191012649,1.0,0.7144263,1.0,0.6597846863435296,1.0,0.480564474217926,1.0,0.76,1.0,0.4234234234234234
3,Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1.0,-1.0,0.3333333333333333,1.0,0.5035726500582683,1.0,0.71753687,0.0,0.9613744910529388,1.0,0.407542831042593,1.0,0.4,1.0,0.3073073073073073
4,"The appearance of Treebeard and Gollum 's expanded role will either have you loving what you 're seeing , or rolling your eyes .",1.0,0.0,0.3333333333333333,-1.0,0.5143121678640099,1.0,0.732151,0.0,0.999314593898148,1.0,0.437037146722164,-1.0,0.41,1.0,0.5485485485485485
5,"Though it is by no means his best work , Laissez-Passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",1.0,1.0,0.3333333333333333,1.0,0.4368089361740678,1.0,0.7632074,1.0,0.9996097561949296,1.0,0.567418891563911,1.0,0.91,1.0,0.5815815815815816
6,"With a cast that includes some of the top actors working in independent film , Lovely & Amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",1.0,-1.0,0.3333333333333333,1.0,0.4890898254340268,1.0,0.5048353,1.0,0.9993100633158436,1.0,0.568169571455056,1.0,0.85,1.0,0.4364364364364364
7,"With the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved .",1.0,1.0,0.3333333333333333,1.0,0.4704849436882337,0.0,0.4912089,0.0,0.969272494063606,1.0,0.41104723091881,1.0,0.47,1.0,0.4014014014014014
8,"A deceivingly simple film , one that grows in power in retrospect .",1.0,0.0,0.3333333333333333,-1.0,0.4688405945390936,0.0,0.43423522,1.0,0.9475550021005802,1.0,0.405765731120206,1.0,0.81,1.0,0.5625625625625625
9,An unabashedly schmaltzy and thoroughly enjoyable true story .,1.0,-1.0,0.3333333333333333,-1.0,0.4446526991050342,1.0,0.89755553,1.0,0.9998873947304494,1.0,0.567410064742034,1.0,0.9,1.0,0.4874874874874875
10,"If no one singles out any of these performances as award-worthy , it 's only because we would expect nothing less from this bunch .",1.0,-1.0,0.3333333333333333,1.0,0.4458844452760354,1.0,0.50607187,1.0,0.934692402596354,-1.0,0.363817964018731,1.0,0.45,1.0,0.3293293293293293
11,This is such a dazzlingly self-assured directorial debut that it 's hard to know what to praise first .,1.0,0.0,0.3333333333333333,-1.0,0.479247488418924,1.0,0.5560084,1.0,0.9997281916265912,1.0,0.555185498167782,1.0,0.61,1.0,0.7527527527527528
12,"A bowel-curdling , heart-stopping recipe for terror .",1.0,-1.0,0.3333333333333333,-1.0,0.4967554908609481,-1.0,0.71796095,1.0,0.954772621041827,1.0,0.427940693848736,-1.0,0.44,1.0,0.3843843843843844
13,A refreshingly honest and ultimately touching tale of the sort of people usually ignored in contemporary American film .,1.0,-1.0,0.3333333333333333,-1.0,0.506452829907525,1.0,0.7552539,1.0,0.9996713283243732,1.0,0.56754395742207,1.0,0.87,1.0,0.5485485485485485
14,"A stunning piece of visual poetry that will , hopefully , be remembered as one of the most important stories to be told in Australia 's film history .",1.0,-1.0,0.3333333333333333,-1.0,0.3967962941719397,1.0,0.96501595,1.0,0.9999156472278952,1.0,0.567169680785451,1.0,0.87,1.0,0.8298298298298298
15,"An endlessly fascinating , landmark movie that is as bold as anything the cinema has seen in years .",1.0,1.0,0.3333333333333333,1.0,0.499670329844002,1.0,0.88131815,1.0,0.9996178629929524,1.0,0.56838278572721,1.0,0.96,1.0,0.8238238238238238
16,An excellent romp that boasts both a heart and a mind .,1.0,1.0,0.3333333333333333,-1.0,0.5075306397789799,1.0,0.96256095,1.0,0.9997112621627952,1.0,0.56874689709879,1.0,0.94,1.0,0.7107107107107107
17,An incredibly clever and superbly paced caper filled with scams within scams within scams .,1.0,0.0,0.3333333333333333,1.0,0.406753228542559,1.0,0.8705764,1.0,0.9999117136734672,1.0,0.568005448359461,1.0,0.86,1.0,0.5815815815815816
18,Both deeply weird and charmingly dear .,1.0,-1.0,0.3333333333333333,-1.0,0.4156023752664035,0.0,0.4677984,1.0,0.9328482908003336,1.0,0.566096467568687,1.0,0.67,1.0,0.6346346346346347
19,"Compelling as it is exotic , Fast Runner has a plot that rivals Shakespeare for intrigue , treachery and murder .",1.0,-1.0,0.3333333333333333,-1.0,0.4335861649936648,1.0,0.47247246,1.0,0.999721633201229,1.0,0.561117118319534,1.0,0.78,1.0,0.6546546546546547
20,"Dazzling and sugar-sweet , a blast of shallow magnificence that only sex , scandal , and a chorus line of dangerous damsels can deliver .",1.0,-1.0,0.3333333333333333,1.0,0.5072837254659701,1.0,0.62301016,1.0,0.9992809753821784,1.0,0.393732928728256,1.0,0.55,1.0,0.4934934934934935
21,"Despite what anyone believes about the goal of its makers , the show ... represents a spectacular piece of theater , and there 's no denying the talent of the creative forces behind it .",1.0,0.0,0.3333333333333333,0.0,0.4278116671313065,1.0,0.7492773,1.0,0.9997598986389464,1.0,0.566361842625079,1.0,0.93,1.0,0.6086086086086087
22,Do we really need a 77-minute film to tell us exactly why a romantic relationship between a 15-year-old boy and a 40-year-old woman does n't work ?,-1.0,-1.0,0.3333333333333333,1.0,0.3900863663984457,0.0,0.79646546,-1.0,0.9964555242372354,-1.0,0.495035040068707,-1.0,0.79,-1.0,0.5185185185185185
23,"Even when foreign directors ... borrow stuff from Hollywood , they invariably shake up the formula and make it more interesting .",1.0,-1.0,0.3333333333333333,1.0,0.5348536710785416,1.0,0.6371811,1.0,0.9996004569186036,1.0,0.434573312312532,1.0,0.57,1.0,0.6056056056056056
24,Ferrara directs the entire film with the kind of detachment that makes any given frame look like a family 's custom-made Christmas card .,0.0,0.0,0.3333333333333333,1.0,0.396550833823506,0.0,0.53512913,1.0,0.99912511090883,-1.0,0.469637314702811,1.0,0.73,-1.0,0.3943943943943944
25,"From the big giant titles of the opening credits to Elmer Bernstein 's perfectly melodic score , Haynes gets just about everything right .",1.0,0.0,0.3333333333333333,1.0,0.5005382335496344,1.0,0.7338151,1.0,0.9998416191535708,1.0,0.566472356217409,1.0,0.8,1.0,0.7297297297297297
26,"Greengrass has delivered an undoubted stylistic tour-de-force , and has managed elements such as sound and cinematography with skill",1.0,0.0,0.3333333333333333,1.0,0.4268444615809477,1.0,0.6266536,1.0,0.9997001761961428,1.0,0.56788396684507,1.0,0.89,1.0,0.6456456456456456
27,"Its direction , its script , and Weaver 's performance as a vaguely discontented woman of substance make for a mildly entertaining 77 minutes , if that 's what you 're in the mood for .",1.0,-1.0,0.3333333333333333,1.0,0.4892199471721183,1.0,0.58300626,0.0,0.5838818956978107,1.0,0.517434694293458,1.0,0.5,1.0,0.4094094094094094
28,One scarcely needs the subtitles to enjoy this colorful action farce .,1.0,-1.0,0.3333333333333333,-1.0,0.4397666540211048,1.0,0.6751857,1.0,0.9973038838670668,1.0,0.505113579146925,1.0,0.7,1.0,0.4494494494494494
29,"Ranging from funny to shattering and featuring some of the year 's best acting , Personal Velocity gathers plenty of dramatic momentum .",1.0,0.0,0.3333333333333333,1.0,0.6002374856769539,1.0,0.8697222,1.0,0.9996991036783812,1.0,0.567359777002234,1.0,0.89,1.0,0.6826826826826827
30,Several degrees shy of the gross-out contests one expects from current teen fare .,0.0,-1.0,0.3333333333333333,-1.0,0.5242604949373539,0.0,0.66953546,1.0,0.889695570845465,-1.0,0.441664969216382,-1.0,0.56,-1.0,0.4574574574574575
31,Skip work to see it at the first opportunity .,1.0,-1.0,0.3333333333333333,-1.0,0.5944078213498689,0.0,0.9316478,1.0,0.9946487733975315,1.0,0.369185412459023,1.0,0.46,1.0,0.8158158158158159
32,"Sound the trumpets : For the first time since Desperately Seeking Susan , Madonna does n't suck as an actress .",1.0,1.0,0.3333333333333333,-1.0,0.4892938621019139,-1.0,0.5688786,1.0,0.9999648802897116,1.0,0.387507903165209,1.0,0.54,1.0,0.7287287287287287
33,"Still , it gets the job done -- a sleepy afternoon rental .",-1.0,0.0,0.3333333333333333,1.0,0.4507418083235379,0.0,0.576348,0.0,0.9993351580054444,1.0,0.543123988618488,1.0,0.4,1.0,0.4314314314314314
34,"The 3D images only enhance the film 's otherworldly quality , giving it a strange combo of you-are-there closeness with the disorienting unreality of the seemingly broken-down fourth wall of the movie screen .",1.0,-1.0,0.3333333333333333,1.0,0.5554474701200477,0.0,0.49507508,1.0,0.9997149575323258,1.0,0.518731155757876,1.0,0.59,1.0,0.4034034034034034
35,"The best thing the film does is to show us not only what that mind looks like , but how the creative process itself operates .",1.0,1.0,0.3333333333333333,1.0,0.4811086471595268,1.0,0.8791521,1.0,0.999486733066562,1.0,0.563848701820418,1.0,0.81,1.0,0.5365365365365365
36,"The film delivers not just the full assault of Reno 's immense wit and insight , but a time travel back to what it felt like during those unforgettably uncertain days .",1.0,1.0,0.3333333333333333,-1.0,0.4259349975480637,1.0,0.51206404,1.0,0.9996376489649994,1.0,0.555615703334059,1.0,0.74,1.0,0.4024024024024024
37,The way Coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining .,1.0,1.0,0.3333333333333333,-1.0,0.5667744904191422,1.0,0.8586557,1.0,0.9997460738447048,1.0,0.568037681209918,1.0,0.73,1.0,0.4664664664664664
38,Two generations within one family test boundaries in this intelligent and restrained coming-of-age drama .,1.0,-1.0,0.3333333333333333,-1.0,0.4980445831214549,1.0,0.5651093,1.0,0.999365079647285,1.0,0.566115330722045,1.0,0.84,1.0,0.4214214214214214
39,Vividly conveys both the pitfalls and the pleasures of over-the-top love .,1.0,1.0,0.3333333333333333,-1.0,0.463667013591748,1.0,0.5955734,1.0,0.9777108226812198,1.0,0.52351623905016,1.0,0.83,1.0,0.5095095095095095
40,What might have been a predictably heartwarming tale is suffused with complexity .,1.0,0.0,0.3333333333333333,-1.0,0.4806219719516518,0.0,0.43617988,0.0,0.9985834822097578,1.0,0.556275090098397,1.0,0.85,-1.0,0.3593593593593593
41,"You wo n't believe much of it , but you will laugh at the audacity , at the who 's who casting and the sheer insanity of it all .",0.0,-1.0,0.3333333333333333,1.0,0.4276164940591768,0.0,0.41857257,0.0,0.9913320942964596,1.0,0.342974130763998,-1.0,0.34,1.0,0.4934934934934935
42,has a plot full of twists upon knots ... and a nonstop parade of mock-Tarantino scuzbag types that starts out clever but veers into overkill .,-1.0,1.0,0.3333333333333333,1.0,0.4451218109555222,0.0,0.5350996,-1.0,0.6901443088481817,-1.0,0.502622867865954,-1.0,0.4,-1.0,0.5765765765765766
43,"A frantic search for laughs , with a hit-to-miss ratio that does n't exactly favour the audience .",-1.0,1.0,0.3333333333333333,-1.0,0.445714101350299,-1.0,0.45360005,-1.0,0.9984631994891504,-1.0,0.503637104264879,-1.0,0.7,-1.0,0.6046046046046046
44,"After seeing SWEPT AWAY , I feel sorry for Madonna .",-1.0,1.0,0.3333333333333333,-1.0,0.5225299893397374,-1.0,0.96447027,0.0,0.9842115255910504,-1.0,0.491617037712787,-1.0,0.64,-1.0,0.4234234234234234
45,"All ends well , sort of , but the frenzied comic moments never click .",-1.0,0.0,0.3333333333333333,1.0,0.4730688459640144,0.0,0.59746736,0.0,0.9846082713226454,-1.0,0.447657741741387,-1.0,0.61,-1.0,0.6496496496496497
46,An Afterschool Special without the courage of its convictions .,-1.0,-1.0,0.3333333333333333,1.0,0.4753274065925381,0.0,0.6074368,-1.0,0.5184235275704899,-1.0,0.398728279787369,-1.0,0.82,-1.0,0.4874874874874875
47,Aspires for the piquant but only really achieves a sort of ridiculous sourness .,-1.0,0.0,0.3333333333333333,1.0,0.4761733514464468,-1.0,0.87150323,-1.0,0.9989840871891869,-1.0,0.502931254153406,-1.0,0.57,-1.0,0.6126126126126126
48,Audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,-1.0,1.0,0.3333333333333333,-1.0,0.4544147025963684,0.0,0.7630917,-1.0,0.9995542638199008,-1.0,0.42959813598802,-1.0,0.48,-1.0,0.5425425425425425
49,"Credit must be given to Harland Williams , Michael Rosenbaum and Barry Watson , who inject far more good-natured spirit and talent into this project than it deserves",1.0,0.0,0.3333333333333333,1.0,0.4297214038728735,1.0,0.85931706,1.0,0.9992668532335194,1.0,0.559421455668765,1.0,0.71,1.0,0.4384384384384384
50,Creepy but ultimately unsatisfying thriller .,-1.0,1.0,0.3333333333333333,1.0,0.4518432568848568,-1.0,0.59331876,-1.0,0.9193991225342614,-1.0,0.440789890883305,-1.0,0.51,-1.0,0.6066066066066066
51,"Helmer DeVito ... attempts to do too many things in this story about ethics , payola , vice , murder , kids ' TV and revenge .",-1.0,-1.0,0.3333333333333333,-1.0,0.3805752738357334,0.0,0.5950931,0.0,0.9916380452696376,-1.0,0.496754504912278,-1.0,0.57,-1.0,0.5815815815815816
52,I loved looking at this movie .,1.0,1.0,0.3333333333333333,-1.0,0.4653143263050822,1.0,0.9655383,1.0,0.9995653509872624,1.0,0.56650311189395,1.0,0.87,1.0,0.6426426426426426
53,I was perplexed to watch it unfold with an astonishing lack of passion or uniqueness .,-1.0,1.0,0.3333333333333333,1.0,0.4385011220874044,-1.0,0.6585104,-1.0,0.8132978803879531,-1.0,0.516226608833312,-1.0,0.64,-1.0,0.4744744744744745
54,"It 's a flashy , star-splashed reduction .",0.0,0.0,0.3333333333333333,-1.0,0.4833924222942782,0.0,0.59728694,1.0,0.775935655815746,-1.0,0.36552405877864,1.0,0.38,-1.0,0.4854854854854855
55,It 's a worse sign when you begin to envy her condition .,0.0,0.0,0.3333333333333333,-1.0,0.4596002406574597,-1.0,0.93708086,-1.0,0.8498135725203367,-1.0,0.4563158048176,-1.0,0.63,-1.0,0.4224224224224224
56,It 's hard not to feel you 've just watched a feature-length video game with some really heavy back story .,-1.0,-1.0,0.3333333333333333,1.0,0.5900060502899634,-1.0,0.86809546,0.0,0.9876147810369847,-1.0,0.358166277315995,1.0,0.49,-1.0,0.4074074074074074
57,All this turns out to be neither funny nor provocative - only dull .,-1.0,-1.0,0.3333333333333333,1.0,0.396074230197747,-1.0,0.81288356,-1.0,0.997041322239447,-1.0,0.509396307858836,-1.0,0.91,-1.0,0.4444444444444444
58,"Literally nothing in The Pool is new , but if you grew up on the stalker flicks of the 1980 's this one should appease you for 90 minutes .",0.0,0.0,0.3333333333333333,-1.0,0.545734481376665,1.0,0.5428906,0.0,0.9966119260196316,1.0,0.510060127664207,1.0,0.45,1.0,0.4154154154154154
59,"Maybe it 's asking too much , but if a movie is truly going to inspire me , I want a little more than this .",-1.0,-1.0,0.3333333333333333,1.0,0.4737635530257768,0.0,0.5016449,-1.0,0.9988134381219064,-1.0,0.464973394841225,-1.0,0.51,-1.0,0.7347347347347347
60,"Meandering , sub-aquatic mess : It 's so bad it 's good , but only if you slide in on a freebie .",-1.0,1.0,0.3333333333333333,-1.0,0.4632762709355071,0.0,0.576339,0.0,0.7309594446838846,-1.0,0.497731681008426,-1.0,0.38,-1.0,0.4194194194194194
