sample_id,sentence,pred_label,gold_label,prompt_text,confidence,logprobs
0,"If Sam was going, Sally would know where.",1.0,1.0,"Sentence: She mailed John a letter, but I don't know to whom.
The sentence is not grammatical.

Sentence: The newspaper has reported that they are about to appoint someone, but I can't remember who the newspaper has reported that they are about to appoint.
The sentence is grammatical.

Sentence: If Sam was going, Sally would know where.
Is the sentence grammatical? Answer as yes or no.

Answer:",0.9987128249214009,"{
  "" Yes"": -0.0012880042,
  "" yes"": -8.769932,
  ""Yes"": -6.799843
}"
1,"She mailed John a letter, but I don't know to whom.",0.0,0.0,"Sentence: She mailed John a letter, but I don't know to whom.
The sentence is not grammatical.

Sentence: The newspaper has reported that they are about to appoint someone, but I can't remember who the newspaper has reported that they are about to appoint.
The sentence is grammatical.

Sentence: She mailed John a letter, but I don't know to whom.
Is the sentence grammatical? Answer as yes or no.

Answer:",0.9992169624340482,"{
  "" "": -13.3593,
  "" No"": -0.0007833443,
  ""No"": -7.158839
}"
2,I served my guests.,1.0,1.0,"Sentence: She mailed John a letter, but I don't know to whom.
The sentence is not grammatical.

Sentence: The newspaper has reported that they are about to appoint someone, but I can't remember who the newspaper has reported that they are about to appoint.
The sentence is grammatical.

Sentence: I served my guests.
Is the sentence grammatical? Answer as yes or no.

Answer:",0.9988098596794118,"{
  "" Yes"": -0.0011908491,
  "" yes"": -8.561777,
  ""Yes"": -6.927475
}"
3,"She was bathing, but I couldn't make out who.",0.0,0.0,"Sentence: She mailed John a letter, but I don't know to whom.
The sentence is not grammatical.

Sentence: The newspaper has reported that they are about to appoint someone, but I can't remember who the newspaper has reported that they are about to appoint.
The sentence is grammatical.

Sentence: She was bathing, but I couldn't make out who.
Is the sentence grammatical? Answer as yes or no.

Answer:",0.9924890006010867,"{
  "" No"": -0.007539349,
  "" Yes"": -5.0101256,
  ""No"": -7.126579
}"
4,"John was tall, but I don't know on what occasions.",0.0,0.0,"Sentence: She mailed John a letter, but I don't know to whom.
The sentence is not grammatical.

Sentence: The newspaper has reported that they are about to appoint someone, but I can't remember who the newspaper has reported that they are about to appoint.
The sentence is grammatical.

Sentence: John was tall, but I don't know on what occasions.
Is the sentence grammatical? Answer as yes or no.

Answer:",0.9992410418045787,"{
  "" "": -12.528687,
  "" No"": -0.00075924635,
  ""No"": -7.1949096
}"
5,"I know that Meg's attracted to Harry, but they don't know who.",0.0,0.0,"Sentence: She mailed John a letter, but I don't know to whom.
The sentence is not grammatical.

Sentence: The newspaper has reported that they are about to appoint someone, but I can't remember who the newspaper has reported that they are about to appoint.
The sentence is grammatical.

Sentence: I know that Meg's attracted to Harry, but they don't know who.
Is the sentence grammatical? Answer as yes or no.

Answer:",0.999265899323844,"{
  "" No"": -0.00073437026,
  "" Yes"": -9.867443,
  ""No"": -7.302323
}"
6,Everyone relies on someone. It's unclear who.,1.0,1.0,"Sentence: She mailed John a letter, but I don't know to whom.
The sentence is not grammatical.

Sentence: The newspaper has reported that they are about to appoint someone, but I can't remember who the newspaper has reported that they are about to appoint.
The sentence is grammatical.

Sentence: Everyone relies on someone. It's unclear who.
Is the sentence grammatical? Answer as yes or no.

Answer:",0.9988092660868887,"{
  "" Yes"": -0.0011914434,
  "" yes"": -8.965241,
  ""Yes"": -6.857499
}"
7,"The newspaper has reported that they are about to appoint someone, but I can't remember who the newspaper has reported that they are about to appoint.",1.0,1.0,"Sentence: She mailed John a letter, but I don't know to whom.
The sentence is not grammatical.

Sentence: The newspaper has reported that they are about to appoint someone, but I can't remember who the newspaper has reported that they are about to appoint.
The sentence is grammatical.

Sentence: The newspaper has reported that they are about to appoint someone, but I can't remember who the newspaper has reported that they are about to appoint.
Is the sentence grammatical? Answer as yes or no.

Answer:",0.9986602526638498,"{
  "" Yes"": -0.0013406456,
  "" yes"": -8.295516,
  ""Yes"": -6.838569
}"
8,"Everybody gets on well with a certain relative, but often only his therapist knows which one.",1.0,1.0,"Sentence: She mailed John a letter, but I don't know to whom.
The sentence is not grammatical.

Sentence: The newspaper has reported that they are about to appoint someone, but I can't remember who the newspaper has reported that they are about to appoint.
The sentence is grammatical.

Sentence: Everybody gets on well with a certain relative, but often only his therapist knows which one.
Is the sentence grammatical? Answer as yes or no.

Answer:",0.998719320570738,"{
  "" Yes"": -0.0012815002,
  "" yes"": -8.790904,
  ""Yes"": -6.797385
}"
9,"He announced he had eaten the asparagus, but we didn't know what.",1.0,0.0,"Sentence: She mailed John a letter, but I don't know to whom.
The sentence is not grammatical.

Sentence: The newspaper has reported that they are about to appoint someone, but I can't remember who the newspaper has reported that they are about to appoint.
The sentence is grammatical.

Sentence: He announced he had eaten the asparagus, but we didn't know what.
Is the sentence grammatical? Answer as yes or no.

Answer:",0.7163657417082967,"{
  "" No"": -1.2670076,
  "" Yes"": -0.33356443,
  ""Yes"": -6.5841327
}"
