,sstb_id,zuco_id,content,control_id,sstb_label,pred_confidence,gold_confidence,uncertainty
0,38,383.0,"cantet perfectly captures the hotel lobbies, two-lane highways, and roadside cafes that permeate vincent's days",,1,0.57025045,0.40039062,1.1402547782315204
1,81,359.0,gollum's `performance' is incredible!,,1,0.9598589,0.033579666,0.2687299647596552
2,86,206.0,"it's the best film of the year so far, the benchmark against which all other best picture contenders should be measured.",,1,0.9348604,0.056022204,0.38556940981752574
3,94,255.0,"the movie is a blast of educational energy, as bouncy animation and catchy songs escort you through the entire 85 minutes.",,1,0.8933345,0.093787566,0.5464641671965582
4,105,189.0,... a roller-coaster ride of a movie,25.0,1,0.92777073,0.92777073,0.43288256799615055
5,139,396.0,a classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done.,,1,0.6335937,0.30893463,1.1775091441134695
6,155,93.0,it is intensely personal and yet -- unlike quills -- deftly shows us the temper of the times.,,1,0.5626024,0.33944544,1.3242786224118377
7,219,299.0,it won't bust your gut -- and it's not intended to -- it's merely a blandly cinematic surgical examination of what makes a joke a joke.,,0,0.5220416,0.338892,1.4144010571082921
8,252,347.0,remarkably accessible and affecting.,,1,0.88090545,0.09629174,0.6106585404445983
9,262,50.0,i like the new footage and still love the old stuff.,,1,0.95508707,0.03678688,0.29501615858066
10,290,381.0,it's solid and affecting and exactly as thought-provoking as it should be.,41.0,1,0.87804353,0.104056776,0.6083396123716897
11,342,178.0,this bold and lyrical first feature from raja amari expands the pat notion that middle-aged women just wanna have fun into a rousing treatise of sensual empowerment.,,1,0.78990096,0.19123971,0.8332082182446934
12,344,336.0,girls gone wild and gone civil again,,0,0.72624975,0.21758917,1.047212164114741
13,349,162.0,... always remains movingly genuine.,21.0,1,0.7762645,0.19659558,0.8862025223249321
14,371,69.0,an intriguing and entertaining introduction to johnson.,,1,0.97115576,0.023338402,0.208848894897423
15,384,121.0,"celebrated at sundance, this slight comedy of manners has winning performances and a glossy, glib charm that's hard to beat.",,1,0.50916207,0.50916207,1.4376396968581766
16,406,308.0,"often gruelling and heartbreaking to witness, but seldahl and wollter's sterling performances raise this far above the level of the usual maudlin disease movie.",,1,0.46502128,0.36250314,1.4816759406029243
17,408,182.0,"the stunning, dreamlike visuals will impress even those viewers who have little patience for euro-film pretension.",24.0,1,0.7112512,0.24328098,1.0484942087855977
