sample_id,paragraph,question,answer-option,gold_label,agg_human_label,agg_human_confidence,machine_2_pred,machine_2_confidence,confidence_diff
173,"<b>Sent 1: </b>The judge leaned back in his chair and beckoned to Mr. Andrews.<br><b>Sent 2: </b>It was finished.<br><b>Sent 3: </b>Spear was free, and from different parts of the courtroom people were moving toward the door.<br><b>Sent 4: </b>Their numbers showed that the friends of the young man had been many.<br><b>Sent 5: </b>Mr. Thorndike felt a certain twinge of disappointment.<br><b>Sent 6: </b>Even though the result relieved and pleased him, he wished, in bringing it about, he had had some part.<br><b>Sent 7: </b>He begrudged to Isaacs & Sons the credit of having given Spear his liberty.<br><b>Sent 8: </b>His morning had been wasted.<br><b>Sent 9: </b>He had neglected his own interests, and in no way assisted those of Spear.<br><b>Sent 10: </b>He was moving out of the railed enclosure when Andrews called him by name.<br><b>Sent 11: </b>""His honor,"" he said impressively, ""wishes to speak to you."" The judge leaned over his desk and shook Mr. Thorndike by the hand.<br><b>Sent 12: </b>Then he made a speech.<br><b>Sent 13: </b>The speech was about public-spirited citizens who, to the neglect of their own interests, came to assist the ends of justice, and fellow-creatures in misfortune.<br><b>Sent 14: </b>He purposely spoke in a loud voice, and every one stopped to listen.<br><b>Sent 15: </b>""The law, Mr. Thorndike, is not vindictive,"" he said.<br><b>Sent 16: </b>""It wishes only to be just.<br><b>Sent 17: </b>Nor can it be swayed by wealth or political or social influences.<br><b>Sent 18: </b>But when there is good in a man, I, personally, want to know it, and when gentlemen like yourself, of your standing in this city, come here to speak a good word for a man, we would stultify the purpose of justice if we did not listen.<br><b>Sent 19: </b>I thank you for coming, and I wish more of our citizens were as unselfish and public-spirited."" It was all quite absurd and most embarrassing, but inwardly Mr. Thorndike glowed with pleasure.<br><b>Sent 20: </b>It was a long time since any one had had the audacity to tell him he had done well.<br>",What was the judges result and did it please or displease Mr. Thorndike?,Spear was free,1.0,1.0,1.0,1.0,0.5560557277433469,0.4439442722566531
150,"<b>Sent 1: </b>The judge leaned back in his chair and beckoned to Mr. Andrews.<br><b>Sent 2: </b>It was finished.<br><b>Sent 3: </b>Spear was free, and from different parts of the courtroom people were moving toward the door.<br><b>Sent 4: </b>Their numbers showed that the friends of the young man had been many.<br><b>Sent 5: </b>Mr. Thorndike felt a certain twinge of disappointment.<br><b>Sent 6: </b>Even though the result relieved and pleased him, he wished, in bringing it about, he had had some part.<br><b>Sent 7: </b>He begrudged to Isaacs & Sons the credit of having given Spear his liberty.<br><b>Sent 8: </b>His morning had been wasted.<br><b>Sent 9: </b>He had neglected his own interests, and in no way assisted those of Spear.<br><b>Sent 10: </b>He was moving out of the railed enclosure when Andrews called him by name.<br><b>Sent 11: </b>""His honor,"" he said impressively, ""wishes to speak to you."" The judge leaned over his desk and shook Mr. Thorndike by the hand.<br><b>Sent 12: </b>Then he made a speech.<br><b>Sent 13: </b>The speech was about public-spirited citizens who, to the neglect of their own interests, came to assist the ends of justice, and fellow-creatures in misfortune.<br><b>Sent 14: </b>He purposely spoke in a loud voice, and every one stopped to listen.<br><b>Sent 15: </b>""The law, Mr. Thorndike, is not vindictive,"" he said.<br><b>Sent 16: </b>""It wishes only to be just.<br><b>Sent 17: </b>Nor can it be swayed by wealth or political or social influences.<br><b>Sent 18: </b>But when there is good in a man, I, personally, want to know it, and when gentlemen like yourself, of your standing in this city, come here to speak a good word for a man, we would stultify the purpose of justice if we did not listen.<br><b>Sent 19: </b>I thank you for coming, and I wish more of our citizens were as unselfish and public-spirited."" It was all quite absurd and most embarrassing, but inwardly Mr. Thorndike glowed with pleasure.<br><b>Sent 20: </b>It was a long time since any one had had the audacity to tell him he had done well.<br>",Who did Mr. Thorndike credit with getting Spear his liberty?,The lawyers,0.0,0.0,0.5,0.0,0.940253955293767,0.440253955293767
141,"<b>Sent 1: </b>The judge leaned back in his chair and beckoned to Mr. Andrews.<br><b>Sent 2: </b>It was finished.<br><b>Sent 3: </b>Spear was free, and from different parts of the courtroom people were moving toward the door.<br><b>Sent 4: </b>Their numbers showed that the friends of the young man had been many.<br><b>Sent 5: </b>Mr. Thorndike felt a certain twinge of disappointment.<br><b>Sent 6: </b>Even though the result relieved and pleased him, he wished, in bringing it about, he had had some part.<br><b>Sent 7: </b>He begrudged to Isaacs & Sons the credit of having given Spear his liberty.<br><b>Sent 8: </b>His morning had been wasted.<br><b>Sent 9: </b>He had neglected his own interests, and in no way assisted those of Spear.<br><b>Sent 10: </b>He was moving out of the railed enclosure when Andrews called him by name.<br><b>Sent 11: </b>""His honor,"" he said impressively, ""wishes to speak to you."" The judge leaned over his desk and shook Mr. Thorndike by the hand.<br><b>Sent 12: </b>Then he made a speech.<br><b>Sent 13: </b>The speech was about public-spirited citizens who, to the neglect of their own interests, came to assist the ends of justice, and fellow-creatures in misfortune.<br><b>Sent 14: </b>He purposely spoke in a loud voice, and every one stopped to listen.<br><b>Sent 15: </b>""The law, Mr. Thorndike, is not vindictive,"" he said.<br><b>Sent 16: </b>""It wishes only to be just.<br><b>Sent 17: </b>Nor can it be swayed by wealth or political or social influences.<br><b>Sent 18: </b>But when there is good in a man, I, personally, want to know it, and when gentlemen like yourself, of your standing in this city, come here to speak a good word for a man, we would stultify the purpose of justice if we did not listen.<br><b>Sent 19: </b>I thank you for coming, and I wish more of our citizens were as unselfish and public-spirited."" It was all quite absurd and most embarrassing, but inwardly Mr. Thorndike glowed with pleasure.<br><b>Sent 20: </b>It was a long time since any one had had the audacity to tell him he had done well.<br>",What was the beginning of the judge's speech mainly about?,Interests,0.0,0.0,1.0,0.0,0.5847517387671471,0.41524826123285286
216,"<b>Sent 1: </b>In many parts of the world, trees lose their leaves in autumn.<br><b>Sent 2: </b>The leaves turn color.<br><b>Sent 3: </b>Then fall from the trees to the ground.<br><b>Sent 4: </b>As the leaves are falling, they have kinetic energy.<br><b>Sent 5: </b>While they are still attached to the trees they also have energy.<br><b>Sent 6: </b>When they are attached they are not in motion, so how can they have energy?<br><b>Sent 7: </b>Instead of kinetic energy, they have stored energy.<br><b>Sent 8: </b>This stored energy is called potential energy.<br><b>Sent 9: </b>An object has potential energy because of its position.<br><b>Sent 10: </b>For example, leaves on trees have potential energy because they could fall.<br><b>Sent 11: </b>They fall because of the pull of gravity.<br><b>Sent 12: </b>Potential energy can be transferred into motion.<br><b>Sent 13: </b>Motion can also be turned back into potential energy.<br><b>Sent 14: </b>Objects have potential energy due to their position.<br><b>Sent 15: </b>A leaf on a tree branch has potential energy.<br><b>Sent 16: </b>The leafs energy can be turned into motion as it falls.<br><b>Sent 17: </b>Once the leaf is on the ground, it has no more potential unless it is lifted back up.<br>",How does potential energy exist and change?,Potential energy exists of leaves and it changes because of autumn,0.0,0.0,0.5,0.0,0.8699215620162937,0.36992156201629367
60,"<b>Sent 1: </b>(CNN) -- Air New Zealand's latest in-flight safety video, released Tuesday, is already another viral hit but is encountering some turbulence over its use of several bikini-clad Sports Illustrated models.<br><b>Sent 2: </b>View the video here Previous versions of the video -- starring anything from Hobbits to Bear Grylls to New Zealand's all conquering All Blacks rugby team -- have revolutionized the on-board safety message airlines deliver to passengers.<br><b>Sent 3: </b>The most recent effort though is being criticized by some as neither ground-breaking nor as creative, after the airline teamed up with Sports Illustrated magazine to produce what it's calling ""The world's most beautiful safety video.""<br><b>Sent 4: </b>The ""Safety in Paradise"" video, which rolls out on Air New Zealand flights at the end of February, is beautifully shot and certainly cheerful and fun.<br><b>Sent 5: </b>It was filmed in the Cook Islands -- home to several stunning beaches -- and coincides with the 50th anniversary of Sports Illustrated's Swimsuit franchise.<br><b>Sent 6: </b>Earlier videos have been witty, clever and quirky but the paradise video combines a far less subtle use of eye-catching material -- using four of the planet's most beautiful, and scantily clad women, to deliver information to passengers.<br><b>Sent 7: </b>The models include Ariel Meredith, Chrissy Teigen, Hannah Davis and Jessica Gomes.<br><b>Sent 8: </b>Christie Brinkley makes a cameo.<br><b>Sent 9: </b>""It seems that suddenly they are saying that my sexuality is all that matters about me,"" one critic, Massey University lecturer and feminist commentator Deborah Russell told the Sydney Morning Herald.<br><b>Sent 10: </b>Social media reaction to the video was predictably mixed, though the majority of commenters on Facebook and Twitter appeared to support the video -- and the women in it.<br><b>Sent 11: </b>Many praised Air New Zealand for using beautiful women to promote the Cook Islands and complimented the airline on its marketing prowess, given the mass of media attention now being given to the safety video.<br><b>Sent 12: </b>From the negative corner, while some commented they were appalled Air New Zealand would be so sexist, others said the Sports Illustrated version just isn't all that clever -- a disappointing follow up to the airline's creative safety videos of the past.<br>",How many male models were featured in the current video,None,1.0,1.0,0.75,1.0,0.9889815220520896,0.23898152205208956
243,"<b>Sent 1: </b> Heavy wooden shutters dulled the noise of the boisterous gale outside.<br> <b>Sent 2: </b>A thick red curtain hung over the door, and a cheery log fire burnt in the stove.<br> <b>Sent 3: </b>A man and woman sat over it; the man, a tall, repulsive-looking creature, with unkempt hair and matted beard, his age apparently about fifty.<br> <b>Sent 4: </b>The woman looked seventy or more.<br> <b>Sent 5: </b>She too had once been tall, but now old age gave her a withered, witch-like appearance, in spite of her great height.<br> <b>Sent 6: </b>She was dressed in limp, faded garments, with a tattered shawl crossed over her chest, and had a scared, miserable look in her bleared old eyes.<br> <b>Sent 7: </b>There were a few words of explanation from the man who had come home, and then, in gruff but not unkindly tones, he bade Babette be seated, and told his mother to get some supper speedily.<br> <b>Sent 8: </b>She spread a coarse cloth on the wooden table, and when all was ready, lifted a large black saucepan from the stove and turned out a smoking, savoury-looking stew.<br> <b>Sent 9: </b>The youngest son produced a bottle containing the thin acid wine of the country, and another of spirits.<br> <b>Sent 10: </b>As he set them on the table, Babette noticed that across one of his hands, which were much smaller and whiter than those of his brothers, there ran a dull red scar that looked as if he had had a bad cut there.<br> <b>Sent 11: </b>Then they all sat down, excepting the old mother, who busied herself in waiting on them.<br>","Who appears to be older, the woman or the man?",The woman,1.0,1.0,0.75,1.0,0.9870474033418234,0.2370474033418234
53,"<b>Sent 1: </b>(CNN) -- Air New Zealand's latest in-flight safety video, released Tuesday, is already another viral hit but is encountering some turbulence over its use of several bikini-clad Sports Illustrated models.<br><b>Sent 2: </b>View the video here Previous versions of the video -- starring anything from Hobbits to Bear Grylls to New Zealand's all conquering All Blacks rugby team -- have revolutionized the on-board safety message airlines deliver to passengers.<br><b>Sent 3: </b>The most recent effort though is being criticized by some as neither ground-breaking nor as creative, after the airline teamed up with Sports Illustrated magazine to produce what it's calling ""The world's most beautiful safety video.""<br><b>Sent 4: </b>The ""Safety in Paradise"" video, which rolls out on Air New Zealand flights at the end of February, is beautifully shot and certainly cheerful and fun.<br><b>Sent 5: </b>It was filmed in the Cook Islands -- home to several stunning beaches -- and coincides with the 50th anniversary of Sports Illustrated's Swimsuit franchise.<br><b>Sent 6: </b>Earlier videos have been witty, clever and quirky but the paradise video combines a far less subtle use of eye-catching material -- using four of the planet's most beautiful, and scantily clad women, to deliver information to passengers.<br><b>Sent 7: </b>The models include Ariel Meredith, Chrissy Teigen, Hannah Davis and Jessica Gomes.<br><b>Sent 8: </b>Christie Brinkley makes a cameo.<br><b>Sent 9: </b>""It seems that suddenly they are saying that my sexuality is all that matters about me,"" one critic, Massey University lecturer and feminist commentator Deborah Russell told the Sydney Morning Herald.<br><b>Sent 10: </b>Social media reaction to the video was predictably mixed, though the majority of commenters on Facebook and Twitter appeared to support the video -- and the women in it.<br><b>Sent 11: </b>Many praised Air New Zealand for using beautiful women to promote the Cook Islands and complimented the airline on its marketing prowess, given the mass of media attention now being given to the safety video.<br><b>Sent 12: </b>From the negative corner, while some commented they were appalled Air New Zealand would be so sexist, others said the Sports Illustrated version just isn't all that clever -- a disappointing follow up to the airline's creative safety videos of the past.<br>",What kind of career does Christie Brinkley have?,A model,1.0,1.0,0.75,1.0,0.9861216250589182,0.2361216250589182
252,"<b>Sent 1: </b> Heavy wooden shutters dulled the noise of the boisterous gale outside.<br> <b>Sent 2: </b>A thick red curtain hung over the door, and a cheery log fire burnt in the stove.<br> <b>Sent 3: </b>A man and woman sat over it; the man, a tall, repulsive-looking creature, with unkempt hair and matted beard, his age apparently about fifty.<br> <b>Sent 4: </b>The woman looked seventy or more.<br> <b>Sent 5: </b>She too had once been tall, but now old age gave her a withered, witch-like appearance, in spite of her great height.<br> <b>Sent 6: </b>She was dressed in limp, faded garments, with a tattered shawl crossed over her chest, and had a scared, miserable look in her bleared old eyes.<br> <b>Sent 7: </b>There were a few words of explanation from the man who had come home, and then, in gruff but not unkindly tones, he bade Babette be seated, and told his mother to get some supper speedily.<br> <b>Sent 8: </b>She spread a coarse cloth on the wooden table, and when all was ready, lifted a large black saucepan from the stove and turned out a smoking, savoury-looking stew.<br> <b>Sent 9: </b>The youngest son produced a bottle containing the thin acid wine of the country, and another of spirits.<br> <b>Sent 10: </b>As he set them on the table, Babette noticed that across one of his hands, which were much smaller and whiter than those of his brothers, there ran a dull red scar that looked as if he had had a bad cut there.<br> <b>Sent 11: </b>Then they all sat down, excepting the old mother, who busied herself in waiting on them.<br>",Who has a scar across one of his hands?,The youngest son,1.0,1.0,0.75,1.0,0.9847893475862056,0.23478934758620562
75,"<b>Sent 1: </b>A group of researchers at a remote jungle island outpost discover the natives are practicing voodoo and black magic .<br><b>Sent 2: </b>After killing the local priest , a voodoo curse begins to raise the dead to feed on the living in retribution .<br><b>Sent 3: </b>The researchers on the island are killed by the newly risen zombies , except for Jenny , the daughter of a scientist couple .<br><b>Sent 4: </b>She escapes , protected by an enchanted necklace charm given to her by her mother shortly before her death .<br><b>Sent 5: </b>She returns years later as an adult with a group of mercenaries to attempt to uncover what happened to her parents .<br><b>Sent 6: </b>Shortly after arriving at the island their boat 's engine dies , stranding them .<br><b>Sent 7: </b>Meanwhile elsewhere on the island a trio of hikers discover a cave , the same cave leading to the underground temple where the original curse was created .<br><b>Sent 8: </b>After accidentally reviving the curse , the dead once again return to kill any who trespass on their island .<br><b>Sent 9: </b>The mercenaries encounter their first zombie , who injures a member of the team .<br><b>Sent 10: </b>Taking shelter in the remains of the old research facilities medical quarters they are soon joined by Chuck , the only surviving hiker .<br><b>Sent 11: </b>Arming themselves with weapons left behind by the long dead research team , they make their stand as the dead once again rise .<br><b>Sent 12: </b>One by one they are injured or killed , one of whom sacrifices himself to blow up the medical facility and his newly undead team members .<br><b>Sent 13: </b>Jenny and Chuck flee , the only survivors remaining .<br><b>Sent 14: </b>They stumble upon the cave once again , where the zombies appear and attack .<br>",Who arms themselves against the zombies?,"Chuck, Jenny and mercenaries",1.0,1.0,0.75,1.0,0.9838045526639732,0.23380455266397315
0,"<b>Sent 1: </b>(CNN) -- Air New Zealand's latest in-flight safety video, released Tuesday, is already another viral hit but is encountering some turbulence over its use of several bikini-clad Sports Illustrated models.<br><b>Sent 2: </b>View the video here Previous versions of the video -- starring anything from Hobbits to Bear Grylls to New Zealand's all conquering All Blacks rugby team -- have revolutionized the on-board safety message airlines deliver to passengers.<br><b>Sent 3: </b>The most recent effort though is being criticized by some as neither ground-breaking nor as creative, after the airline teamed up with Sports Illustrated magazine to produce what it's calling ""The world's most beautiful safety video.""<br><b>Sent 4: </b>The ""Safety in Paradise"" video, which rolls out on Air New Zealand flights at the end of February, is beautifully shot and certainly cheerful and fun.<br><b>Sent 5: </b>It was filmed in the Cook Islands -- home to several stunning beaches -- and coincides with the 50th anniversary of Sports Illustrated's Swimsuit franchise.<br><b>Sent 6: </b>Earlier videos have been witty, clever and quirky but the paradise video combines a far less subtle use of eye-catching material -- using four of the planet's most beautiful, and scantily clad women, to deliver information to passengers.<br><b>Sent 7: </b>The models include Ariel Meredith, Chrissy Teigen, Hannah Davis and Jessica Gomes.<br><b>Sent 8: </b>Christie Brinkley makes a cameo.<br><b>Sent 9: </b>""It seems that suddenly they are saying that my sexuality is all that matters about me,"" one critic, Massey University lecturer and feminist commentator Deborah Russell told the Sydney Morning Herald.<br><b>Sent 10: </b>Social media reaction to the video was predictably mixed, though the majority of commenters on Facebook and Twitter appeared to support the video -- and the women in it.<br><b>Sent 11: </b>Many praised Air New Zealand for using beautiful women to promote the Cook Islands and complimented the airline on its marketing prowess, given the mass of media attention now being given to the safety video.<br><b>Sent 12: </b>From the negative corner, while some commented they were appalled Air New Zealand would be so sexist, others said the Sports Illustrated version just isn't all that clever -- a disappointing follow up to the airline's creative safety videos of the past.<br>",Who were the people that opposed Air New Zealand's decisions?,Deborah Russel and the media who saw the video as sexist,1.0,1.0,0.75,1.0,0.982369992646784,0.23236999264678404
