sample_id,content,pred_label,three_way_labels,prompt_text,confidence,logprobs
0.0,"A pleasant enough movie, held together by skilled ensemble actors.",1.0,1.0,"A pleasant enough movie, held together by skilled ensemble actors.

What can we say about the sentiment of this review? Answer as positive, negative or neutral.

Answer:",0.8825879068271184,"{
  "" Neutral"": -2.1527824,
  "" Positive"": -0.124896884,
  "" positive"": -7.609102
}"
1.0,"A thoughtful, provocative, insistently humanizing film.",1.0,1.0,"A thoughtful, provocative, insistently humanizing film.

What can we say about the sentiment of this review? Answer as positive, negative or neutral.

Answer:",0.9993008859941561,"{
  "" Positive"": -0.0006993585,
  "" positive"": -7.3095655,
  ""positive"": -11.236226
}"
2.0,"Hip-hop has a history, and it's a metaphor for this love story.",1.0,0.0,"Hip-hop has a history, and it's a metaphor for this love story.

What can we say about the sentiment of this review? Answer as positive, negative or neutral.

Answer:",0.6597846863435296,"{
  "" Neutral"": -1.0790346,
  "" Positive"": -0.41584173,
  "" neutral"": -8.732356
}"
3.0,Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions.,0.0,1.0,"Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions.

What can we say about the sentiment of this review? Answer as positive, negative or neutral.

Answer:",0.9613744910529389,"{
  "" Negative"": -5.1706395,
  "" Neutral"": -0.039391257,
  "" Positive"": -3.437119
}"
4.0,"The appearance of Treebeard and Gollum's expanded role will either have you loving what you're seeing, or rolling your eyes.",0.0,1.0,"The appearance of Treebeard and Gollum's expanded role will either have you loving what you're seeing, or rolling your eyes.

What can we say about the sentiment of this review? Answer as positive, negative or neutral.

Answer:",0.9993145938981479,"{
  "" Neutral"": -0.0006856411,
  "" Positive"": -9.632424,
  "" neutral"": -7.4821
}"
5.0,"Though it is by no means his best work, Laissez-Passer is a distinguished and distinctive effort by a bona-fide master, a fascinating film replete with rewards to be had by all willing to make the effort to reap them.",1.0,1.0,"Though it is by no means his best work, Laissez-Passer is a distinguished and distinctive effort by a bona-fide master, a fascinating film replete with rewards to be had by all willing to make the effort to reap them.

What can we say about the sentiment of this review? Answer as positive, negative or neutral.

Answer:",0.9996097561949296,"{
  "" Neutral"": -9.541345,
  "" Positive"": -0.00039031997,
  "" positive"": -8.172103
}"
6.0,"With a cast that includes some of the top actors working in independent film, Lovely & Amazing involves us because it is so incisive, so bleakly amusing about how we go about our lives.",1.0,1.0,"With a cast that includes some of the top actors working in independent film, Lovely & Amazing involves us because it is so incisive, so bleakly amusing about how we go about our lives.

What can we say about the sentiment of this review? Answer as positive, negative or neutral.

Answer:",0.9993100633158437,"{
  "" Neutral"": -7.5469394,
  "" Positive"": -0.0006901748,
  "" positive"": -8.832098
}"
7.0,"With the film's striking ending, one realizes that we have a long way to go before we fully understand all the sexual permutations involved.",0.0,1.0,"With the film's striking ending, one realizes that we have a long way to go before we fully understand all the sexual permutations involved.

What can we say about the sentiment of this review? Answer as positive, negative or neutral.

Answer:",0.969272494063606,"{
  "" Neutral"": -0.031209495,
  "" Positive"": -3.5401015,
  "" neutral"": -6.5416636
}"
8.0,"A deceivingly simple film, one that grows in power in retrospect.",1.0,1.0,"A deceivingly simple film, one that grows in power in retrospect.

What can we say about the sentiment of this review? Answer as positive, negative or neutral.

Answer:",0.9475550021005802,"{
  "" Neutral"": -2.9569194,
  "" Positive"": -0.053870294,
  "" positive"": -7.981468
}"
9.0,An unabashedly schmaltzy and thoroughly enjoyable true story.,1.0,1.0,"An unabashedly schmaltzy and thoroughly enjoyable true story.

What can we say about the sentiment of this review? Answer as positive, negative or neutral.

Answer:",0.9998873947304494,"{
  "" Positive"": -0.00011261161,
  "" positive"": -9.246111,
  ""positive"": -12.18965
}"
