model_1,model_2,micro,macro,weighted
davinci,lstm,0.37404580152671757,0.35032589525343144,0.3930076936840222
davinci,random,0.21621621621621623,0.17998998998999002,0.262625959292626
davinci,roberta,0.42857142857142855,0.4157237566472228,0.45206893589773617
davinci,tfidf,0.30434782608695654,0.2789109657947686,0.3324618544600939
davinci,human,0.5,0.4510125889436234,0.5231709542054369
lstm,davinci,0.37404580152671757,0.35032589525343144,0.3606788845436188
lstm,random,0.21621621621621623,0.21636002886002884,0.22080327080327078
lstm,roberta,0.6666666666666666,0.6690220174091142,0.6724935995903738
lstm,tfidf,0.41732283464566927,0.4115682766845558,0.4294202610481681
lstm,human,0.5929203539823009,0.5829979639503449,0.5953073254660556
random,davinci,0.21621621621621623,0.17998998998999002,0.18868168168168167
random,lstm,0.21621621621621623,0.21636002886002884,0.21404220779220778
random,roberta,0.2413793103448276,0.24104178849354504,0.2414637218298772
random,tfidf,0.2676056338028169,0.27104377104377103,0.26677890011223343
random,human,0.2080536912751678,0.2009351544235265,0.20214511299782617
roberta,davinci,0.42857142857142855,0.4157237566472228,0.41884882985452243
roberta,lstm,0.6666666666666666,0.6690220174091142,0.6643147294760198
roberta,random,0.2413793103448276,0.24104178849354504,0.24192793846430657
roberta,tfidf,0.40625,0.4045425216156924,0.410719662752183
roberta,human,0.6071428571428571,0.6130338629704756,0.60840540718203
tfidf,davinci,0.30434782608695654,0.2789109657947686,0.28708836351441985
tfidf,lstm,0.41732283464566927,0.4115682766845558,0.4219121447028424
tfidf,random,0.2676056338028169,0.27104377104377103,0.27244668911335573
tfidf,roberta,0.40625,0.4045425216156924,0.4124644040091195
tfidf,human,0.31386861313868614,0.3002661752661753,0.30947310947310946
human,davinci,0.5,0.4510125889436234,0.4881408502098157
human,lstm,0.5929203539823009,0.5829979639503449,0.5970750796147621
human,random,0.2080536912751678,0.2009351544235265,0.22698412698412695
human,roberta,0.6071428571428571,0.6130338629704756,0.6121393959882804
human,tfidf,0.31386861313868614,0.3002661752661753,0.33126194376194373
