sample_id,snli_id,sentence_1,sentence_2,label,item_difficulty,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,prob_0_no_cal,prob_1_no_cal,prob_2_no_cal,pred_label,confidence,prob_0_with_cal,prob_1_with_cal,prob_2_with_cal,entropy_with_cal
0,1947351225.jpg#0r1c,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,contradiction,-1.75982247491244,0.8391393442622951,78.75,6.0,19,101,0.005680924281477928,0.2319573312997818,0.7623617649078369,neutral,0.8411525305552958,0.010916578903019059,0.14793089054168532,0.8411525305552958,0.6889117541087576
1,3626964430.jpg#0r1e,"People playing cricket in the park, pine trees in the back.","People are playing sports in the park, near the pine trees",entailment,-2.1790869834078,0.8862704918032787,94.15,5.0,22,118,0.93353670835495,0.0007798264850862324,0.06568346917629242,entailment,0.9246437397088536,0.9246437397088536,0.0034745815205971505,0.07188167877054898,0.4059198945470781
2,4576144189.jpg#3r1e,Some people hanging out on a large backyard deck.,people hanging out on deck,entailment,-3.13717793250355,0.951844262295082,81.29,3.0,14,76,0.9373283386230469,0.0008307333919219673,0.06184088811278343,entailment,0.9218337560726658,0.9218337560726658,0.0032290926635196227,0.07493715126381463,0.41509091842662
3,507370108.jpg#3r1n,A group of dancers are performing.,The audience is silent.,neutral,-1.98210490343004,0.8657786885245902,83.32,3.0,10,58,0.0008162052254192531,0.9895133376121521,0.009670481085777283,contradiction,0.9737009777499253,0.002034924303370656,0.9737009777499253,0.024264097946703908,0.1858096802899841
4,3361210233.jpg#0r1n,A large brown and white dog is carrying a stick through a white and snowy area.,A puppy is playing fetch with a stick.,neutral,-0.280871833963571,0.5655737704918032,93.14,4.0,24,118,0.014650166034698486,0.00155014474876225,0.9837996959686279,neutral,0.9885858214101992,0.008330205360113568,0.003083973229687528,0.9885858214101992,0.0996365708276562
5,3512127856.jpg#2r1n,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral,-1.40847862599424,0.7889344262295082,79.77,4.0,17,93,0.006595160812139511,0.8481274247169495,0.14527736604213715,contradiction,0.7085078858353389,0.010307994708604646,0.7085078858353389,0.2811841194560565,0.9349473547329948
6,6775386430.jpg#1r1n,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,contradiction,0.962349262458267,0.2899590163934426,87.21,4.0,19,95,0.011529048904776573,0.6917175650596619,0.2967534363269806,contradiction,0.5283947215731651,0.02216663483054713,0.5283947215731651,0.449438643596288,1.12666809008055
7,3433982387.jpg#1r1n,A young girl in a white dress watches bubbles while a woman and girl toddler observe.,A girl is watching bubbles.,entailment,-3.76147309861573,0.9733606557377048,86.2,4.0,21,113,0.9873722791671753,0.0006320860120467842,0.011995652690529823,entailment,0.9789684160917865,0.9789684160917865,0.0013404970770989283,0.019691086831114715,0.15438908471697996
8,358127240.jpg#4r1n,a toddler playing with a toy car next to a dog.,A toddler plays with toy cars while his dog sleeps.,neutral,-1.17515875979249,0.75,103.12,2.0,21,99,0.015130910091102123,0.2384852021932602,0.7463839054107666,neutral,0.635654197969165,0.035009465437797205,0.32933633659303785,0.635654197969165,1.112545367760604
9,4919196839.jpg#0r1e,A man in and a woman are holding their towels at the beach.,People are at the beach,entailment,-3.42068383007488,0.9631147540983608,96.18,4.0,18,83,0.9417433142662048,0.0004744518082588911,0.05778224766254425,entailment,0.9375268394044781,0.9375268394044781,0.000702232726282049,0.061770927869239704,0.3427396490603745
10,2550027486.jpg#3r1n,Man and woman crossing the street at dusk.,A husband and a wife are enjoying a leisurely stroll in the evening.,neutral,-1.33186925978517,0.7766393442622951,86.2,6.0,21,111,0.025346245616674423,0.008066276088356972,0.966587483882904,neutral,0.932581647081252,0.02363723658421804,0.04378111633453006,0.932581647081252,0.41922444465271824
11,5635975939.jpg#3r1c,A woman singing into a microphone while a man plays drums in the background.,They are playing a PlayStation.,contradiction,0.327321146263317,0.4252049180327868,78.75,6.0,19,108,6.425697210943326e-05,0.9964852333068848,0.0034504488576203585,contradiction,0.9826545646331304,0.0003835926490336504,0.9826545646331304,0.016961842717835934,0.1289210934970934
12,4900546628.jpg#2r1n,"Two men in front of a projector screen, one at a microphone.",Three men about to present their best idea yet in front of their company.,neutral,-1.19853076001311,0.7540983606557377,92.12,6.0,26,134,0.020270254462957382,0.05587917938828468,0.9238505363464355,neutral,0.9266181929903066,0.01654966576795005,0.05683214124174395,0.9266181929903066,0.43493284134832016
13,7786624414.jpg#2r1c,A cyclist is optimistic as he rushes through the air while on his BMX bike at a bicycle event.,A snowboarder flies through the air,contradiction,-0.911334779346956,0.7008196721311475,84.17,5.0,25,130,1.3148311154509429e-05,0.999901294708252,8.559511479688808e-05,contradiction,0.9990228149605135,0.00023658492733445374,0.9990228149605135,0.0007406001121522567,0.011960353839382456
14,2731171552.jpg#1r1c,A boy in a blue and white shirt is pointing up and a second boy in a white shirt shields his eyes.,Two boys puch each other on swings.,contradiction,0.131191355265525,0.4702868852459016,99.06,3.0,29,134,0.0024141056928783655,0.9811890125274658,0.016396835446357727,contradiction,0.9662264624481164,0.0045212504457558525,0.9662264624481164,0.029252287106127737,0.23215836446116558
15,2895548671.jpg#2r1n,A group of people in dark clothing are crossing a crosswalk.,A group of people in dark clothing are crossing a crosswalk to get to the store,neutral,-1.61501394452806,0.819672131147541,83.15,6.0,27,140,0.0008936771773733199,0.0003348125610500574,0.9987714886665344,neutral,0.9965860093833104,0.0019928875419974747,0.0014211030746920908,0.9965860093833104,0.036236864363977835
16,4937760948.jpg#4r1e,A girl is holding a camera and making a hand gesture.,A girl holds a camera.,entailment,-3.98274862480943,0.9784836065573772,88.74,3.0,16,76,0.9882026314735413,0.0013119096402078867,0.010485508479177952,entailment,0.9850304768960774,0.9850304768960774,0.002144296022018288,0.012825227081904393,0.12104869307865042
17,75204250.jpg#2r1n,A man posing with a antique sewing machine.,He is a sewer.,neutral,-1.88410835880238,0.8545081967213115,90.77,2.0,12,58,0.01599900983273983,0.3632940351963043,0.6207069754600525,contradiction,0.5372637694942777,0.010984399589922039,0.5372637694942777,0.45175183091580046,1.0709263000778535
18,2916012955.jpg#4r1n,Five people standing by a gate.,Five fat people standing by a gate.,neutral,-2.07720861227919,0.8760245901639344,90.26,3.0,13,67,0.00024571685935370624,7.650013867532834e-05,0.9996777772903442,neutral,0.9977929753318651,0.001430578707887255,0.0007764459602475888,0.9977929753318651,0.024719679540080305
19,2496713113.jpg#3r1c,Man sweeping trash outside a large statue.,A man is on vacation.,contradiction,0.0384307516550445,0.4918032786885246,82.31,3.0,12,64,0.0018300795927643776,0.10584857314825058,0.8923214077949524,neutral,0.8553485451639906,0.0027708986429739128,0.14188055619303552,0.8553485451639906,0.6160621118203736
20,4351734575.jpg#0r1e,A man wearing an orange suit with his face painted white is holding a guitar above his shoulder.,There is one man in this picture.,entailment,0.763229378915494,0.3299180327868852,84.17,5.0,25,130,0.9985698461532593,0.00010988552821800113,0.0013202003901824355,entailment,0.9970636802975796,0.9970636802975796,0.0003706043113973084,0.0025657153910228453,0.030535706594831395
21,7067778185.jpg#2r1e,Two men and a woman are inspecting the front tire of a bicycle.,There are a group of people near a bike.,entailment,-1.93676687534496,0.860655737704918,85.69,6.0,22,104,0.9683197140693665,0.0052234758622944355,0.02645677700638771,entailment,0.9633832076807701,0.9633832076807701,0.0052840972522407905,0.031332695066989075,0.24836126153432797
22,4923755473.jpg#1r1n,This path leads up to the apple market entrance.,This road goes up to apple market entrance,entailment,-1.1234469428653,0.7407786885245902,79.77,4.0,17,91,0.9120252132415771,0.008187121711671352,0.0797877311706543,entailment,0.8551986008646602,0.8551986008646602,0.0417087209253847,0.10309267820995487,0.7221000707555794
23,956164675.jpg#2r1e,A single runner is watched by onlookers in a race.,A man is running in a race.,entailment,-0.523092234344364,0.6198770491803278,88.23,6.0,17,78,0.5959866046905518,0.05447985604405403,0.3495335578918457,entailment,0.6207194695115574,0.6207194695115574,0.09488015898763816,0.28440037150080416,1.2653293985143712
24,3590653633.jpg#4r1c,Two rodeo clowns are on the dirt.,Two circus clowns were riding bicycles.,contradiction,0.622663278953605,0.3596311475409836,90.26,3.0,13,73,0.00010876318265218288,0.9990518689155579,0.0008394214091822505,contradiction,0.9885912113571627,0.0010839843766933678,0.9885912113571627,0.01032480426614392,0.09516218443905655
25,3469609037.jpg#1r1n,A boy does a skateboarding trick in the air while holding the board with his left hand.,A sad boy does a skateboarding trick in the air while holding the board with his left hand.,neutral,-1.62233102085706,0.8206967213114754,87.55,6.0,35,179,0.00015190616250038147,0.00014438766811508685,0.9997037053108215,neutral,0.9977536761647684,0.0013720293120276965,0.0008742945232039415,0.9977536761647684,0.025166869835822715
26,87938334.jpg#1r1e,A young boy in a beige jacket laughs as he reaches for a teal balloon.,The boy plays with the balloon.,entailment,-0.704480583986331,0.6588114754098361,94.66,3.0,21,102,0.8978291153907776,0.011104337871074677,0.09106648713350296,entailment,0.8038951089314581,0.8038951089314581,0.04063843061015744,0.1554664604583843,0.8584318932109866
27,3309042087.jpg#4r1n,A scene of snow and water.,a snow and water scene at sunset,neutral,-1.46801469540934,0.798155737704918,98.72,0.0,13,59,0.009970891289412975,0.011537010781466961,0.9784921407699585,neutral,0.9300497831784379,0.024463175744991402,0.0454870410765706,0.9300497831784379,0.43105876233848867
28,7060264119.jpg#2r1c,"A group of people are gathered in a crowd, some of which are holding spears.",A crowd of people are holding swords,contradiction,0.0516687497760844,0.4887295081967213,94.15,5.0,22,113,0.5566606521606445,0.20972765982151031,0.23361165821552277,contradiction,0.6773777996710024,0.20422759173317928,0.6773777996710024,0.11839460859581803,1.21315992853986
29,3386694897.jpg#3r1e,A man prepares food in a shanty kitchen.,A man is fixing a meal.,entailment,-2.18969460684385,0.8872950819672131,98.21,0.0,14,64,0.9067068696022034,0.004813509061932564,0.08847963064908981,entailment,0.7918050129862455,0.7918050129862455,0.0157590449572469,0.19243594205650758,0.8185524780370942
