sample_id,sentence_1,sentence_2,pred_label
0,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,contradiction
1,"People playing cricket in the park, pine trees in the back.","People are playing sports in the park, near the pine trees",neutral
2,Some people hanging out on a large backyard deck.,people hanging out on deck,neutral
3,A group of dancers are performing.,The audience is silent.,neutral
4,A large brown and white dog is carrying a stick through a white and snowy area.,A puppy is playing fetch with a stick.,neutral
5,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral
6,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,neutral
7,A young girl in a white dress watches bubbles while a woman and girl toddler observe.,A girl is watching bubbles.,entailment
8,a toddler playing with a toy car next to a dog.,A toddler plays with toy cars while his dog sleeps.,neutral
9,A man in and a woman are holding their towels at the beach.,People are at the beach,contradiction
10,Man and woman crossing the street at dusk.,A husband and a wife are enjoying a leisurely stroll in the evening.,neutral
11,A woman singing into a microphone while a man plays drums in the background.,They are playing a PlayStation.,contradiction
12,"Two men in front of a projector screen, one at a microphone.",Three men about to present their best idea yet in front of their company.,neutral
13,A cyclist is optimistic as he rushes through the air while on his BMX bike at a bicycle event.,A snowboarder flies through the air,neutral
14,A boy in a blue and white shirt is pointing up and a second boy in a white shirt shields his eyes.,Two boys puch each other on swings.,contradiction
15,A group of people in dark clothing are crossing a crosswalk.,A group of people in dark clothing are crossing a crosswalk to get to the store,neutral
16,A girl is holding a camera and making a hand gesture.,A girl holds a camera.,neutral
17,A man posing with a antique sewing machine.,He is a sewer.,neutral
18,Five people standing by a gate.,Five fat people standing by a gate.,neutral
19,Man sweeping trash outside a large statue.,A man is on vacation.,contradiction
20,A man wearing an orange suit with his face painted white is holding a guitar above his shoulder.,There is one man in this picture.,neutral
21,Two men and a woman are inspecting the front tire of a bicycle.,There are a group of people near a bike.,neutral
22,This path leads up to the apple market entrance.,This road goes up to apple market entrance,neutral
23,A single runner is watched by onlookers in a race.,A man is running in a race.,entailment
24,Two rodeo clowns are on the dirt.,Two circus clowns were riding bicycles.,contradiction
25,A boy does a skateboarding trick in the air while holding the board with his left hand.,A sad boy does a skateboarding trick in the air while holding the board with his left hand.,neutral
26,A young boy in a beige jacket laughs as he reaches for a teal balloon.,The boy plays with the balloon.,entailment
27,A scene of snow and water.,a snow and water scene at sunset,neutral
28,"A group of people are gathered in a crowd, some of which are holding spears.",A crowd of people are holding swords,contradiction
29,A man prepares food in a shanty kitchen.,A man is fixing a meal.,neutral
