sample_id,sentence_1,sentence_2,pred_label,gold_label,prompt_text,confidence,logprobs,c,n,e
0,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,contradiction,contradiction,"A little boy is opening gifts surrounded by a group of children and adults.

Can we infer that the boy is being punished? Answer as yes, no or maybe.

Answer:",0.935590769670521,"{
  "" "": -9.074048,
  "" Maybe"": -2.764636,
  "" No"": -0.06657711,
  "" maybe"": -9.078366,
  ""No"": -6.8622327
}",0.9366373443054582,0.06311313472825374,0.00024952096628805265
1,"People playing cricket in the park, pine trees in the back.","People are playing sports in the park, near the pine trees",entailment,entailment,"People playing cricket in the park, pine trees in the back.

Can we infer that people are playing sports in the park, near the pine trees? Answer as yes, no or maybe.

Answer:",0.7310358777992743,"{
  "" Maybe"": -1.3285724,
  "" Yes"": -0.31329274,
  "" maybe"": -8.501864,
  "" yes"": -7.930966,
  ""Yes"": -5.712661
}",0.0002426258009786686,0.265058188131429,0.7346991860675923
2,Some people hanging out on a large backyard deck.,people hanging out on deck,entailment,entailment,"Some people hanging out on a large backyard deck.

Can we infer that people hanging out on deck? Answer as yes, no or maybe.

Answer:",0.9949186668737672,"{
  "" Maybe"": -6.0771937,
  "" YES"": -10.25314,
  "" Yes"": -0.005094287,
  "" yes"": -8.484103,
  ""Yes"": -5.98653
}",3.23838849964897e-05,0.0022946069815588184,0.9976730091334447
3,A group of dancers are performing.,The audience is silent.,neutral,neutral,"A group of dancers are performing.

Can we infer that the audience is silent? Answer as yes, no or maybe.

Answer:",0.9993030302363397,"{
  "" Maybe"": -0.00069721276,
  "" No"": -9.796519,
  "" maybe"": -8.1856365,
  ""Maybe"": -7.957291,
  ""maybe"": -11.910729
}",5.564496280349373e-05,0.9999384754564695,5.879580726952938e-06
4,A large brown and white dog is carrying a stick through a white and snowy area.,A puppy is playing fetch with a stick.,neutral,neutral,"A large brown and white dog is carrying a stick through a white and snowy area.

Can we infer that a puppy is playing fetch with a stick? Answer as yes, no or maybe.

Answer:",0.9990665189048086,"{
  ""\n"": -11.536362,
  "" Maybe"": -0.00093391706,
  "" maybe"": -8.218642,
  ""Maybe"": -7.3703656,
  ""maybe"": -11.682341
}",1.2910332981508343e-05,0.999974179334037,6.455166490781927e-06
5,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral,neutral,"A little girl in pink stands in a yellow hallway.

Can we infer that the girl is standing outside her apartment? Answer as yes, no or maybe.

Answer:",0.9991195083604523,"{
  ""\n"": -11.527454,
  "" "": -10.497001,
  "" Maybe"": -0.0008808795,
  "" maybe"": -8.065923,
  ""Maybe"": -7.577153
}",2.7206838021431867e-05,0.9999455863239571,1.3603419010688178e-05
6,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,neutral,contradiction,"A young boy in a sweatshirt is doodling on a piece of paper.

Can we infer that the class pictures are on display? Answer as yes, no or maybe.

Answer:",0.9990945325832451,"{
  "" "": -10.245214,
  "" Maybe"": -0.0009058776,
  "" No"": -9.486136,
  "" maybe"": -8.195994,
  ""Maybe"": -7.6086
}",7.589680267075467e-05,0.9998664546270579,5.7648570271351396e-05
7,A young girl in a white dress watches bubbles while a woman and girl toddler observe.,A girl is watching bubbles.,entailment,entailment,"A young girl in a white dress watches bubbles while a woman and girl toddler observe.

Can we infer that a girl is watching bubbles? Answer as yes, no or maybe.

Answer:",0.9912875681284332,"{
  "" Maybe"": -5.064195,
  "" YES"": -10.140477,
  "" Yes"": -0.008750607,
  "" yes"": -7.6333036,
  ""Yes"": -6.3128824
}",5.7126681776042965e-05,0.006318995647416285,0.9936238776708076
8,a toddler playing with a toy car next to a dog.,A toddler plays with toy cars while his dog sleeps.,neutral,neutral,"a toddler playing with a toy car next to a dog.

Can we infer that a toddler plays with toy cars while his dog sleeps? Answer as yes, no or maybe.

Answer:",0.9991682651233655,"{
  "" "": -10.911268,
  "" Maybe"": -0.00083208096,
  "" No"": -10.17598,
  "" maybe"": -8.37727,
  ""Maybe"": -7.5407143
}",3.8073959012625395e-05,0.999929320393646,3.260564734131055e-05
9,A man in and a woman are holding their towels at the beach.,People are at the beach,neutral,entailment,"A man in and a woman are holding their towels at the beach.

Can we infer that people are at the beach? Answer as yes, no or maybe.

Answer:",0.9405866712950384,"{
  "" Maybe"": -0.06125148,
  "" Yes"": -2.839312,
  "" maybe"": -8.042282,
  ""Maybe"": -8.122532,
  ""Yes"": -8.301672
}",8.099984675880023e-05,0.9412050218455116,0.05871397830772965
