sample_id,domain,source,gold_label,source_annotation,annotator1,annotator2,annotator3,annotator4,annotator5,sentence,confidence,gold_conf,entropy,pred_label
0,out,clc95,1,,1,1,0,1,1,"If Sam was going, Sally would know where.",0.7893692564964294,0.7893692564964294,0.7426866499604445,1
1,out,clc95,0,*,0,0,0,0,0,"She mailed John a letter, but I don't know to whom.",0.7464202752709389,0.7464202752709389,0.81690270565456,0
2,out,clc95,1,,1,1,1,1,1,I served my guests.,0.9120778185129166,0.9120778185129166,0.4294960320120882,1
3,out,clc95,0,*,0,0,0,0,0,"She was bathing, but I couldn't make out who.",0.554916478395462,0.554916478395462,0.9912806030065776,0
4,out,clc95,0,*,0,0,0,0,0,"John was tall, but I don't know on what occasions.",0.5802423971891403,0.5802423971891403,0.9813408455749124,0
5,out,clc95,0,*,0,0,0,0,0,"I know that Meg's attracted to Harry, but they don't know who.",0.5048615249991417,0.5048615249991417,0.9999318044186168,0
6,out,clc95,1,,1,0,0,1,1,Everyone relies on someone. It's unclear who.,0.7853693512082099,0.7853693512082099,0.7502413109939793,1
7,out,clc95,1,,0,1,1,1,1,"The newspaper has reported that they are about to appoint someone, but I can't remember who the newspaper has reported that they are about to appoint.",0.7913628053665162,0.7913628053665162,0.7388696881494407,1
8,out,clc95,1,,1,1,1,1,0,"Everybody gets on well with a certain relative, but often only his therapist knows which one.",0.7757225733995438,0.7757225733995438,0.7679014038415004,1
9,out,clc95,0,*,0,0,0,0,0,"He announced he had eaten the asparagus, but we didn't know what.",0.8843035185337067,0.1156964809447527,0.5168626913389135,1
10,out,clc95,1,,1,1,1,1,1,She talked to John or Mary but I don't know which.,0.7736991661787033,0.7736991661787033,0.7715068719735073,1
11,out,clc95,1,,1,1,1,1,1,She talked to John or Mary but I don't know which one.,0.7288441026210785,0.7288441026210785,0.8431183890893174,1
12,out,clc95,1,,1,0,0,1,0,"Meg is attracted to Harry, but they don't know who she is attracted to.",0.9455337250232696,0.9455337250232696,0.3050746452929382,1
13,out,clc95,0,*,0,0,0,0,0,What did you leave before they started playing?,0.6337805530428886,0.6337805530428886,0.9477249913091508,0
14,out,clc95,1,,1,1,1,1,1,"I think Agnes said that Bill would speak, but I don't remember what about.",0.7471857243776321,0.2528142765164375,0.8157082522722755,0
15,out,clc95,0,*,1,1,0,1,1,"Tony sent Mo a picture that he painted, but it's not clear with what.",0.7706352484226227,0.7706352484226227,0.7769022821670032,0
16,out,clc95,0,*,0,0,0,0,0,Who did they see someone?,0.9025153648853302,0.9025153648853302,0.4609709832224959,0
17,out,c-05,0,*,0,0,0,0,0,The book was by John written.,0.9482362723350524,0.9482362723350524,0.2938424128676422,0
18,out,c-05,1,,1,1,1,1,1,The book was seen by Mary.,0.7082078671455383,0.7082078671455383,0.871025023794708,1
19,out,c-05,0,*,0,0,0,0,0,Mary was given by John the book.,0.9110889077186584,0.9110889077186584,0.432824714666423,0
20,out,c-05,1,,1,1,0,1,1,John was believed to be telling the truth by Mary.,0.8655115246772767,0.8655115246772767,0.5696205954908546,1
21,out,c-05,1,,1,1,1,1,1,John was believed by Mary to be telling the truth.,0.9324105310440064,0.9324105310440064,0.3568629250920267,1
22,out,c-05,1,,1,1,1,1,1,The car was driven by John to Maine.,0.9744104027748108,0.9744104027748108,0.1717669747643263,1
23,out,c-05,0,*,1,0,0,0,0,Chocolate eggs were hidden from each other by the children.,0.9345452058315276,0.0654547933489084,0.3487281806697629,1
24,out,c-05,1,,0,0,0,0,0,Books were taken from no student and given to Mary.,0.5981491535902024,0.5981491535902024,0.9720229761105752,1
25,out,j_71,0,*,1,0,1,1,1,"Bill ate the peaches, but Harry the grapes.",0.5148153045773506,0.4851846978068351,0.99936658375314,1
26,out,j_71,0,*,1,0,0,0,0,Bill ate the peaches and Harry did the grapes.,0.9269220638275146,0.0730779400095343,0.3773063359826339,1
27,out,j_71,0,*,0,0,0,0,0,"Because Steve's of a spider's eye had been stolen, I borrowed Fred's diagram of a snake's fang.",0.6911087590456009,0.6911087590456009,0.8918894409490288,0
28,out,j_71,1,,1,1,1,1,1,Jerry attempted to blow up the Pentagon.,0.9852299761772156,0.9852299761772156,0.1109697122205911,1
29,out,j_71,1,,1,1,1,1,1,"Bill bought a red house, and Max bought one too.",0.929824281334877,0.929824281334877,0.366579076382939,1
30,out,s_97,1,,1,1,1,1,1,I know the person whose mother died.,0.6240539392828941,0.6240539392828941,0.95512846408098,1
31,out,s_97,0,*,0,0,0,0,0,Bother you that Kim left!,0.8481574553251267,0.8481574553251267,0.6144321330920003,0
32,out,s_97,0,*,0,0,0,1,1,"Mary arranged for, in St. Louis, John to rent a house cheap.",0.8297113978862762,0.8297113978862762,0.6583645521404922,0
33,out,s_97,0,*,0,0,0,0,0,I wonder in whom them to place their trust.,0.8949854362010956,0.8949854362010956,0.4846927372764825,0
34,out,s_97,0,*,0,0,0,0,0,I wonder whom us to trust.,0.9156701278686524,0.9156701278686524,0.4172549454098601,0
35,out,s_97,0,*,0,0,0,0,1,"Jones, that we were talking to last night, always watches football games alone.",0.6075174185633659,0.6075174185633659,0.96638297582137,0
36,out,s_97,1,,1,1,1,1,1,A letter was received that Jones would be upset by.,0.7627543711662292,0.7627543711662292,0.7904297722047754,1
37,out,s_97,0,*,0,0,0,0,0,The only person whose kids Dana is willing to put up with was written by John.,0.897771487236023,0.897771487236023,0.4760202698205377,0
38,out,s_97,0,*,1,0,1,1,1,The book that I like - everyone else in the class hates.,0.912551007270813,0.0874489924311637,0.4278970742548338,1
39,out,s_97,0,*,0,1,0,0,1,"Which book's, author did you meet who you liked?",0.8035933065414429,0.8035933065414429,0.714682998142909,0
40,out,s_97,1,,1,1,1,1,1,All who lost money in the scam are eligible for the program.,0.9421036124229432,0.9421036124229432,0.3190371284812211,1
41,out,s_97,0,*,0,0,0,0,0,Who for Sandy to talk to is still enrolled in the class?,0.8808241093158722,0.8808241093158722,0.526987347508756,0
42,out,s_97,1,,1,1,1,1,1,The only people being added to our group who were at Harvard were students.,0.559518628641963,0.559518628641963,0.9897543229770388,1
43,out,swb04,0,*,0,0,0,0,0,Leslie told ourselves about us.,0.9284284818172456,0.9284284818172456,0.3717610509551999,0
44,out,swb04,1,,1,1,1,1,1,Those pictures of us offended us.,0.9403282356262208,0.9403282356262208,0.3261405729763235,1
45,out,swb04,1,,1,1,1,1,1,We admired the pictures of us in the album.,0.802302887737751,0.802302887737751,0.7172983367496002,1
46,out,swb04,1,,1,1,1,1,1,We admired the pictures of ourselves in the album.,0.8407651484012604,0.8407651484012604,0.6324759314062349,1
47,out,swb04,1,,1,1,1,1,1,Max is on the phone now.,0.9866927254199982,0.9866927254199982,0.1019961889364758,1
