model_1,model_2,micro,macro,weighted
random_noisy,tfidf,0.16883116883116883,0.16938271604938274,0.16770370370370372
random_noisy,lstm,0.2413793103448276,0.2417767831770389,0.24148077105238233
random_noisy,roberta_calibrated,0.19205298013245034,0.1926088617265088,0.19001358119005182
random_noisy,davinci,0.25874125874125875,0.2278593029251502,0.21932912468469976
random_noisy,human,0.2328767123287671,0.22650380877331233,0.2183066281411435
tfidf,random_noisy,0.16883116883116883,0.16938271604938274,0.17079835390946502
tfidf,lstm,0.37404580152671757,0.37226956842730347,0.37962722219547296
tfidf,roberta_calibrated,0.40625,0.40759033125059413,0.4161583688378431
tfidf,davinci,0.30434782608695654,0.2789109657947686,0.28708836351441985
tfidf,human,0.31386861313868614,0.3002661752661753,0.30947310947310946
lstm,random_noisy,0.2413793103448276,0.2417767831770389,0.24157253481102584
lstm,tfidf,0.37404580152671757,0.37226956842730347,0.3773075256391738
lstm,roberta_calibrated,0.6666666666666666,0.6692279942279943,0.6688528138528138
lstm,davinci,0.3533834586466165,0.3419437340153452,0.3457999431656721
lstm,human,0.5789473684210527,0.580045351473923,0.5892517006802721
roberta_calibrated,random_noisy,0.19205298013245034,0.1926088617265088,0.19581423478482304
roberta_calibrated,tfidf,0.40625,0.40759033125059413,0.4081994532449537
roberta_calibrated,lstm,0.6666666666666666,0.6692279942279943,0.6657299182299182
roberta_calibrated,davinci,0.44,0.41814735844586587,0.4227592197741452
roberta_calibrated,human,0.5789473684210527,0.5794414735591206,0.5768231332937216
davinci,random_noisy,0.25874125874125875,0.2278593029251502,0.3222665849092539
davinci,tfidf,0.30434782608695654,0.2789109657947686,0.3324618544600939
davinci,lstm,0.3533834586466165,0.3419437340153452,0.3642114236999147
davinci,roberta_calibrated,0.44,0.41814735844586587,0.4631288004422332
davinci,human,0.5,0.4510125889436234,0.5231709542054369
human,random_noisy,0.2328767123287671,0.22650380877331233,0.2622616233254531
human,tfidf,0.31386861313868614,0.3002661752661753,0.33126194376194373
human,lstm,0.5789473684210527,0.580045351473923,0.5845653817082389
human,roberta_calibrated,0.5789473684210527,0.5794414735591206,0.5830342642107348
human,davinci,0.5,0.4510125889436234,0.4881408502098157
