sample_id,sentence_1,sentence_2,gold_label,machine_2_pred,machine_2_confidence,machine_3_pred,machine_3_confidence,confidence_diff
80.0,Two men fight in a ring while spectators look on.,Boxers fight as the crowd screams.,neutral,neutral,0.403036644195515,neutral,0.980938818043959,0.577902173848444
56.0,"Two cyclists, in yellow, are competing in a race.",A Mustang and a Corvette are competing in a drag race.,contradiction,contradiction,0.432606217368269,contradiction,0.999735944637668,0.567129727269399
58.0,A police vehicle in an urban area.,A cop car in a suburban area,contradiction,contradiction,0.467462226332254,contradiction,0.998343854426634,0.53088162809438
64.0,A couple is back to back in formal attire.,Two people are facing away from each other.,entailment,entailment,0.43196333310279,entailment,0.93248306657664,0.50051973347385
63.0,there is a lady standing and six people laying on a gym floor.,There are seven people in the gym.,entailment,entailment,0.491255927953628,entailment,0.963695034082212,0.47243910612858403
32.0,"A man is sitting in front of a harpsichord, and a woman is preparing to sing.",a boy covers his ears,contradiction,contradiction,0.529177295212782,contradiction,0.999171150807776,0.46999385559499396
76.0,A football team wearing purple and white trying to stop the runner with the ball.,Lacrosse players celebrate a victory.,contradiction,contradiction,0.540810517769275,contradiction,0.999737854725078,0.458927336955803
77.0,Many small sailboats sitting at a dock., Many small sailboats docked.,entailment,entailment,0.512271108217268,entailment,0.969700393957279,0.45742928574001107
43.0,A man and woman walking away from a crowded street fair.,There are a group of men walking together.,contradiction,contradiction,0.555139469158166,contradiction,0.998077722965512,0.44293825380734597
54.0,A young girl in a pink shirt sitting on a dock viewing a body of water.,An old woman viewing a body of water.,contradiction,contradiction,0.564877157276715,contradiction,0.999584257227656,0.43470709995094103
70.0,A father and children ride bikes in city street.,A woman and her daughters ride their bikes.,contradiction,contradiction,0.567487211319081,contradiction,0.999618185242149,0.432130973923068
84.0,"A bride, a groom, 3 guys, and 3 women.",The unrelated people wander aimlessly.,contradiction,contradiction,0.56852960075876,contradiction,0.998897112663384,0.43036751190462397
40.0,People were watching the tournament in the stadium.,The people are sitting outside on the grass.,contradiction,contradiction,0.5594128556686,contradiction,0.98807199498147,0.42865913931287003
25.0,A boy does a skateboarding trick in the air while holding the board with his left hand.,A sad boy does a skateboarding trick in the air while holding the board with his left hand.,neutral,neutral,0.569793720899491,neutral,0.997636796148422,0.42784307524893106
13.0,A cyclist is optimistic as he rushes through the air while on his BMX bike at a bicycle event.,A snowboarder flies through the air,contradiction,contradiction,0.572120128178249,contradiction,0.999723475433857,0.427603347255608
42.0,Nine men wearing tuxedos sing.,Nine woman wearing dresses sing.,contradiction,contradiction,0.573313123739592,contradiction,0.999734221322118,0.426421097582526
53.0,A white dog with a life vest accompanies a man in a boat.,man eats carrot,contradiction,contradiction,0.573402136115413,contradiction,0.999650557056595,0.426248420941182
81.0,Girls playing soccer competitively in the grass.,Nobody is playing soccer.,contradiction,contradiction,0.573661870508788,contradiction,0.999724431813576,0.4260625613047879
57.0,The backside of a woman leaning against the guard rail of a passenger boat looking out at the open ocean.,The woman is driving her car on the highway.,contradiction,contradiction,0.573766863999459,contradiction,0.999734761175086,0.425967897175627
50.0,A picture of two little boys holding books.,A picture of children with books.,entailment,entailment,0.564614269846712,entailment,0.983341454493439,0.418727184646727
69.0,A group of people in blue pants and shirts in motion.,There are people moving.,entailment,entailment,0.568068398461884,entailment,0.985389604037617,0.41732120557573305
55.0,A bunch of happy children having fun swimming and one boy is showing off his talent with a back flip.,Kids are having fun,entailment,entailment,0.555013570636272,entailment,0.971894755315145,0.41688118467887303
9.0,A man in and a woman are holding their towels at the beach.,People are at the beach,entailment,entailment,0.558587649535317,entailment,0.974619492827437,0.41603184329211995
66.0,A street vendor selling cupcakes.,There is a person outside in this picture,entailment,entailment,0.568390241238352,entailment,0.982730805900929,0.41434056466257696
73.0,A boy in a gray hoodie and black cap holds up an American flag.,A person is holding an American flag.,entailment,entailment,0.567314406156168,entailment,0.977172646567694,0.40985824041152596
71.0,a poor looking person with white cream smeared around his eyes sitting on a backpack.,A dirty man with some product under his eyes is sitting on a pillow.,contradiction,contradiction,0.418644722992718,contradiction,0.827305682277348,0.40866095928463003
68.0,A couple kissing in front of a black Mercedes Benz limousine,A couple kissing in front of a car,entailment,entailment,0.557187993872189,entailment,0.963511249839496,0.406323255967307
65.0,A biker pops a wheelie along side the colorful wall.,A person is riding a bike near a wall.,entailment,entailment,0.562413155355914,entailment,0.96737084488955,0.4049576895336361
61.0,A black dog has just jumped into a swimming pool.,A dog jumped into a pool to cool off.,neutral,neutral,0.564161054414391,neutral,0.955984490922712,0.39182343650832097
45.0,A young woman with glasses sits at the end of a row of seats and speaks into a microphone.,A young woman wearing glasses,entailment,entailment,0.559830415090258,entailment,0.946422729947762,0.386592314857504
52.0,"A man is standing in what appears to be a parking lot and shaving his face, while his dog looks at the ground near his feet.",A women is walking with a man,contradiction,contradiction,0.566039412133523,contradiction,0.942601953696052,0.376562541562529
17.0,A man posing with a antique sewing machine.,He is a sewer.,neutral,neutral,0.462205054824579,neutral,0.816993144454664,0.35478808963008496
59.0,6 men in work jumpsuits and 1 man in an orange jumpsuit are walking next to green and red loading docks.,All 7 men are best friends.,neutral,neutral,0.540363770628008,neutral,0.815794965410334,0.275431194782326
10.0,Man and woman crossing the street at dusk.,A husband and a wife are enjoying a leisurely stroll in the evening.,neutral,neutral,0.511629156450697,neutral,0.733635465703,0.22200630925230302
5.0,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral,neutral,0.398414958965856,neutral,0.603338395003738,0.204923436037882
